parsed,substantive,syntactic_ok,api_valid,hallucinations,addresses_defect,similarity,lines_dropped,lines_dropped_frac,model,item_id,category,truncated,errored
True,True,True,True,,False,0.569,1.0,0.036,qwen-coder,pilot-0108,missing_heading_semantics,False,False
True,False,True,True,,False,0.275,94.0,0.297,qwen-coder,pilot-0114,missing_heading_semantics,False,False
True,False,True,True,,True,0.362,1.0,0.067,qwen-coder,pilot-0118,missing_heading_semantics,False,False
True,True,True,True,,False,0.654,0.0,0.0,qwen-coder,pilot-0122,missing_interaction_semantics,False,False
True,True,True,True,,False,0.986,1.0,0.032,qwen-coder,pilot-0130,missing_semantics_role,False,False
True,True,True,True,,True,0.62,1.0,0.024,qwen-coder,pilot-0140,missing_semantics_role,False,False
True,True,True,True,,False,1.0,0.0,0.0,qwen-coder,pilot-0163,missing_interaction_semantics,False,False
True,True,True,True,,False,0.977,21.0,0.095,qwen-coder,pilot-0168,missing_interaction_semantics,False,False
True,True,True,True,,False,0.966,1.0,0.019,qwen-coder,pilot-0171,missing_state_description,False,False
True,True,True,True,,False,0.831,0.0,0.0,qwen-coder,pilot-0179,missing_state_description,False,False
True,True,True,True,,False,1.0,0.0,0.0,qwen-coder,pilot-0184,missing_interaction_semantics,False,False
True,True,True,True,,False,0.917,0.0,0.0,qwen-coder,pilot-0186,missing_merge_descendants,False,False
True,True,True,True,,False,0.924,3.0,0.022,qwen-coder,pilot-0189,missing_merge_descendants,False,False
True,True,True,True,,False,0.578,0.0,0.0,qwen-coder,pilot-0191,missing_state_description,False,False
True,True,True,True,,False,0.963,1.0,0.014,qwen-coder,pilot-0197,missing_merge_descendants,False,False
True,True,True,False,invented_semantics_key,False,0.97,2.0,0.016,qwen-coder,pilot-0198,missing_merge_descendants,False,False
True,True,True,True,,False,0.986,1.0,0.016,qwen-coder,pilot-0199,missing_merge_descendants,False,False
True,True,True,True,,True,0.966,0.0,0.0,qwen-coder,pilot-0204,pointerinput_no_semantics,False,False
True,True,True,True,,True,0.887,1.0,0.01,qwen-coder,pilot-0205,pointerinput_no_semantics,False,False
False,,,,,,,,,qwen-coder,pilot-0210,pointerinput_no_semantics,True,False
True,True,True,True,,False,0.735,49.0,0.167,qwen-coder,pilot-0215,pointerinput_no_semantics,False,False
True,True,True,True,,True,0.9,0.0,0.0,qwen-coder,pilot-0216,pointerinput_no_semantics,False,False
True,True,True,True,,False,0.794,1.0,0.011,qwen-coder,pilot-0245,text_truncation_scaling,False,False
True,True,True,True,,False,0.917,0.0,0.0,qwen-coder,pilot-0247,text_truncation_scaling,False,False
True,True,False,True,,False,0.848,0.0,0.0,qwen-coder,pilot-0249,text_truncation_scaling,False,False
True,True,True,False,invented_semantics_key,False,0.962,2.0,0.018,qwen-coder,pilot-0254,text_truncation_scaling,False,False
True,False,True,True,,False,0.003,473.0,1.0,qwen-coder,pilot-0256,text_truncation_scaling,False,False
True,True,True,True,,True,0.962,0.0,0.0,qwen-coder,pilot-0264,textfield_no_label,False,False
True,True,True,True,,True,0.943,3.0,0.07,qwen-coder,pilot-0265,textfield_no_label,False,False
True,False,True,True,,True,0.068,216.0,0.939,qwen-coder,pilot-0274,textfield_no_label,False,False
True,True,True,True,,True,0.988,1.0,0.012,qwen-coder,pilot-0277,textfield_no_label,False,False
True,False,True,True,,True,0.351,61.0,0.656,qwen-coder,pilot-0278,textfield_no_label,False,False
True,True,True,True,,True,0.989,1.0,0.028,qwen-coder,pilot-0281,missing_content_description,False,False
True,True,True,True,,False,0.994,1.0,0.015,qwen-coder,pilot-0283,missing_interaction_semantics,False,False
True,True,True,True,,True,0.66,13.0,0.232,qwen-coder,pilot-0289,clickable_icon_not_iconbutton,False,False
True,True,True,True,,False,0.729,7.0,0.318,qwen-coder,pilot-0291,touch_target_size,False,False
True,True,True,True,,True,0.921,6.0,0.071,qwen-coder,pilot-0293,clickable_icon_not_iconbutton,False,False
True,True,True,True,,True,0.635,0.0,0.0,qwen-coder,pilot-0299,missing_content_description,False,False
