parsed,substantive,syntactic_ok,api_valid,hallucinations,addresses_defect,similarity,lines_dropped,lines_dropped_frac,model,item_id,category,truncated,errored
True,False,False,True,,False,0.826,8.0,0.533,mistral,pilot-0186,missing_merge_descendants,False,False
True,False,True,True,,False,0.091,122.0,0.884,mistral,pilot-0189,missing_merge_descendants,False,False
True,False,True,True,,False,0.62,20.0,0.8,mistral,pilot-0191,missing_state_description,False,False
True,False,True,True,,False,0.158,66.0,0.917,mistral,pilot-0197,missing_merge_descendants,False,False
True,False,True,True,,False,0.646,98.0,0.79,mistral,pilot-0198,missing_merge_descendants,False,False
True,True,False,True,,False,0.889,7.0,0.113,mistral,pilot-0199,missing_merge_descendants,False,False
True,False,True,True,,False,0.135,57.0,0.864,mistral,pilot-0204,pointerinput_no_semantics,False,False
True,False,False,True,,True,0.09,90.0,0.857,mistral,pilot-0205,pointerinput_no_semantics,False,False
True,False,True,True,,True,0.434,269.0,0.741,mistral,pilot-0210,pointerinput_no_semantics,False,False
True,False,True,True,,False,0.114,258.0,0.881,mistral,pilot-0215,pointerinput_no_semantics,False,False
True,True,True,True,,False,0.966,11.0,0.065,mistral,pilot-0216,pointerinput_no_semantics,False,False
True,True,True,True,,False,0.831,33.0,0.363,mistral,pilot-0245,text_truncation_scaling,False,False
True,False,True,True,,False,0.034,150.0,0.847,mistral,pilot-0247,text_truncation_scaling,False,False
True,False,True,True,,False,0.656,68.0,0.723,mistral,pilot-0249,text_truncation_scaling,False,False
True,False,True,True,,False,0.763,64.0,0.587,mistral,pilot-0254,text_truncation_scaling,False,False
True,False,True,True,,True,0.735,34.0,0.919,mistral,pilot-0264,textfield_no_label,False,False
True,False,True,True,,False,0.621,32.0,0.744,mistral,pilot-0265,textfield_no_label,False,False
True,False,True,True,,False,0.037,196.0,0.852,mistral,pilot-0274,textfield_no_label,False,False
True,True,True,True,,True,0.956,21.0,0.244,mistral,pilot-0277,textfield_no_label,False,False
True,False,True,True,,True,0.699,68.0,0.731,mistral,pilot-0278,textfield_no_label,False,False
True,False,True,True,,True,0.881,19.0,0.528,mistral,pilot-0281,missing_content_description,False,False
True,True,True,True,,False,0.901,7.0,0.108,mistral,pilot-0283,missing_interaction_semantics,False,False
True,False,True,True,,True,0.5,52.0,0.929,mistral,pilot-0289,clickable_icon_not_iconbutton,False,False
True,True,True,True,,True,0.81,7.0,0.318,mistral,pilot-0291,touch_target_size,False,False
True,False,True,True,,True,0.819,45.0,0.529,mistral,pilot-0293,clickable_icon_not_iconbutton,False,False
True,True,True,True,,True,0.862,15.0,0.455,mistral,pilot-0299,missing_content_description,False,False
False,,,,,,,,,mistral,pilot-0163,missing_interaction_semantics,False,True
