item_id,category,repo,file,composable,evidence,snippet,verdict,notes
pilot-0284,touch_target_size,GetStream__whatsApp-clone-compose,GetStream__whatsApp-clone-compose/features/chats/src/main/kotlin/io/getstream/whatsappclone/chats/messages/WhatsAppMessageTopBar.kt,WhatsAppMessageTopBar,size(26.dp) on interactive element,"
@Composable
fun WhatsAppMessageTopBar(
  messageUiState: WhatsAppMessageUiState,
  navigateToVideoCall: (Boolean) -> Unit,
  onBackClick: () -> Unit
) {
  TopAppBar(
    modifier = Modifier.fillMaxWidth(),
    navigationIcon = {
      Icon(
        modifier = Modifier
          .size(26.dp)
          .clickable {
            onBackClick()
          },",,
pilot-0065,error_state_no_semantics,AmanoTeam__Kahon,AmanoTeam__Kahon/app/src/main/java/eu/kanade/presentation/more/settings/screen/browse/components/ExtensionStoresDialogs.kt,ExtensionStoreCreateDialog,isError set without semantics { error(...) },"
@Composable
fun ExtensionStoreCreateDialog(
    onDismissRequest: () -> Unit,
    onCreate: (String) -> Unit,
    storeIndexUrls: Set<String>,
    processing: Boolean,
    errorMessage: String?,
) {
    val state = rememberTextFieldState()
    val storeAlreadyExists by remember(storeIndexUrls) {
        derivedStateOf {
            val indexUrl = state.text.toString()
            storeIndexUrls.contains(indexUrl)
        }
    }",,
pilot-0225,progress_no_semantics,iOrchid__android-jetpack-demo,iOrchid__android-jetpack-demo/compose/src/main/java/org/zhiwei/compose/screen/basic/material3/WidgetScreen.kt,UI_ProgressIndicator,CircularProgressIndicator without progressSemantics,"
@Composable
private fun UI_ProgressIndicator() {
    Title_Text(title = ""ProgressIndicator"")
    Title_Sub_Text(title = ""1、ProgressIndicator就是传统view中的progressBar，进度提示条/圈"")
    Title_Desc_Text(desc = ""Indeterminate progress 默认进度progress是0的时候"")
    CircularProgressIndicator()
    Spacer(modifier = Modifier.height(8.dp))
    LinearProgressIndicator()
    Spacer(modifier = Modifier.height(8.dp))
    Title_Desc_Text(desc = ""Determinate 有确切的进度"")
    //在compose中，数据变化都是state的，
    val progress = progressFlow.collectAsState(initial = 0)
    CircularProgressIndicator(
        progress = { progress.value / 100f },
        color = Color(0XFFFA7E23),",,
pilot-0128,missing_interaction_semantics,norsehorse-dev__BurnPonyAndroid,norsehorse-dev__BurnPonyAndroid/app/src/main/kotlin/com/burnpony/app/ui/legal/LegalScreen.kt,LegalScreen,.clickable without onClickLabel,"@OptIn(ExperimentalMaterial3Api::class)
@Composable
fun LegalScreen(document: LegalDocument, onBack: () -> Unit) {
    val context = LocalContext.current

    Scaffold(
        containerColor = BurnPonyTheme.background,
        topBar = {
            TopAppBar(
                title = { Text(stringResource(document.titleResId)) },
                navigationIcon = {
                    IconButton(onClick = onBack) {
                        Icon(
                            Icons.AutoMirrored.Filled.ArrowBack,
                            contentDescription = stringResource(R.string.legal_back),
                            tint = BurnPonyTheme.ember,",,
pilot-0295,touch_target_size,isotjs__todosian-app,isotjs__todosian-app/app/src/main/java/com/isotjs/todosian/ui/components/TodoRow.kt,PriorityChip,size(18.dp) on interactive element,"
@Composable
private fun PriorityChip(
    selected: Boolean,
    label: String,
    onClick: () -> Unit,
    icon: ImageVector?,
    iconTint: Color? = null,
) {
    FilterChip(
        selected = selected,
        onClick = onClick,
        leadingIcon = icon?.let { image ->
            {
                Icon(
                    imageVector = image,",,
pilot-0144,missing_merge_descendants,norsehorse-dev__AgePonyAndroid,norsehorse-dev__AgePonyAndroid/app/src/main/java/com/agepony/app/ui/files/RecipientPicker.kt,RecipientPickerContent,"clickable Row with 3 Text children, no mergeDescendants"," */
@Composable
internal fun RecipientPickerContent(
    vault: Vault,
    selection: RecipientSelection,
    modifier: Modifier = Modifier,
    showTitle: Boolean = true,
    confirmLabelSuffix: String = """",
    /** Whether confirming a passphrase should hold it for the rest of the session. */
    rememberPassphrase: Boolean = false,
    onCancel: () -> Unit,
    onConfirm: (recipients: List<AgeRecipient>, passphrase: String?) -> Unit,
) {
    var pasteText by remember { mutableStateOf("""") }
    var pasteError by remember { mutableStateOf<String?>(null) }
",,
pilot-0042,decorative_mislabeled,gininaba__AIPOSPasswordManager,gininaba__AIPOSPasswordManager/app/src/main/java/com/aipos/aipospm/ui/screens/PasswordGeneratorScreen.kt,PasswordGeneratorScreen,"decorative with description ""Copy""","@OptIn(ExperimentalMaterial3Api::class)
@Composable
fun PasswordGeneratorScreen(
    generatorViewModel: PasswordGeneratorViewModel,
    onNavigateBack: () -> Unit
) {
    val uiState by generatorViewModel.uiState.collectAsStateWithLifecycle()
    val snackbarHostState = remember { SnackbarHostState() }
    val scope = rememberCoroutineScope()
    val context = LocalContext.current
    val haptic = LocalHapticFeedback.current

    val strengthProgress by animateFloatAsState(
        targetValue = when (uiState.strength) {
            PasswordStrength.NONE -> 0f
            PasswordStrength.WEAK -> 0.33f",,
pilot-0069,error_state_no_semantics,maximilian-schwaerzler__Do-It,maximilian-schwaerzler__Do-It/app/src/main/java/at/co/schwaerzler/maximilian/doit/ui/navigation/screen/EditTodoScreen.kt,EditTodoScreenContent,isError set without semantics { error(...) },"@OptIn(ExperimentalMaterial3Api::class)
@Composable
private fun EditTodoScreenContent(
    id: Int?,
    uiState: EditTodoUiState,
    onTitleChange: (String) -> Unit,
    onDescriptionChange: (String) -> Unit,
    onDeadlineChange: (Instant?) -> Unit,
    onSave: () -> Unit,
    onCancel: () -> Unit,
    onDelete: () -> Unit,
    modifier: Modifier = Modifier,
) {
    var showDatePicker by remember { mutableStateOf(false) }
    var showTimePicker by remember { mutableStateOf(false) }
    var pendingDateMillis by remember { mutableLongStateOf(0L) }",,
pilot-0299,touch_target_size,digiexchris__RoadTripRadar,digiexchris__RoadTripRadar/app/src/main/java/ca/voiditswarranty/roadtripradar/ui/ColorEditorSheet.kt,ColorCategoryRow,size(32.dp) on interactive element,"
@Composable
internal fun ColorCategoryRow(
    category: ThemeColorCategory,
    color: Color,
    onColorChange: (Color) -> Unit,
) {
    var expanded by rememberSaveable { mutableStateOf(false) }

    Column(modifier = Modifier.fillMaxWidth()) {
        Row(
            modifier = Modifier
                .fillMaxWidth()
                .clickable { expanded = !expanded }
                .padding(vertical = 8.dp),
            verticalAlignment = Alignment.CenterVertically,",,
pilot-0049,decorative_mislabeled,KaushalVasava__XPhotogram,KaushalVasava__XPhotogram/app/src/main/java/com/lahsuak/apps/instagram/ui/screen/ChatScreen.kt,ChatScreen,"decorative with description ""Camera""","@OptIn(ExperimentalMaterial3Api::class)
@Composable
fun ChatScreen(
    userId: String,
    homeViewModel: HomeViewModel,
    navController: NavController,
) {
    var isProgress by remember {
        mutableStateOf(false)
    }
    val userState by remember {
        mutableStateOf(homeViewModel.getUserById(userId))
    }
    if (isProgress) {
        Box(
            modifier = Modifier.fillMaxSize(),",,
pilot-0035,color_contrast,kursatkumsuz__movie,kursatkumsuz__movie/feature/search/src/main/java/com/kursatkumsuz/search/presentation/component/SearchBar.kt,SearchBar,3 hardcoded Color literals with Text,"
@Composable
fun SearchBar(
    hint: String = """",
    onSearch: (String) -> Unit
) {
    var text by remember {
        mutableStateOf("""")
    }
    var isHintDisplayed by remember {
        mutableStateOf(hint != """")
    }

    Box(modifier = Modifier.padding(10.dp)) {

        TextField(",,
pilot-0132,missing_interaction_semantics,IacobIonut01__ReFra,IacobIonut01__ReFra/app/src/main/kotlin/com/dot/gallery/cloud/ui/people/PersonDetailScreen.kt,PersonDetailScreen,.clickable without onClickLabel,")
@Composable
fun PersonDetailScreen(
    metadataState: State<MediaMetadataState>,
    sharedTransitionScope: SharedTransitionScope,
    animatedContentScope: AnimatedContentScope,
) {
    val viewModel = hiltViewModel<PersonDetailViewModel>()
    val state by viewModel.uiState.collectAsStateWithLifecycle()
    val mediaState = viewModel.mediaState.collectAsStateWithLifecycle()
    val blurProgress by viewModel.blurProgress.collectAsStateWithLifecycle()
    val mergeCandidates by viewModel.mergeCandidates.collectAsStateWithLifecycle()
    val personMedia by viewModel.personMedia.collectAsStateWithLifecycle()
    var showRenameSheet by remember { mutableStateOf(false) }
    var editNameText by remember { mutableStateOf("""") }
    var showBirthdayPicker by remember { mutableStateOf(false) }",,
pilot-0002,clickable_icon_not_iconbutton,shardulvs__pdfinspector-android,shardulvs__pdfinspector-android/app/src/main/java/SVS/pdfinspector/ui/ThemeSettingsSheet.kt,Swatch,Icon made clickable directly instead of IconButton,"
@Composable
private fun Swatch(
    color: Color,
    selected: Boolean,
    enabled: Boolean,
    onClick: () -> Unit,
) {
    val ring = MaterialTheme.colorScheme.onSurface
    Box(
        modifier = Modifier
            .size(44.dp)
            .alpha(if (enabled) 1f else 0.4f)
            .clip(CircleShape)
            .background(color)
            .then(if (selected) Modifier.border(3.dp, ring, CircleShape) else Modifier)",,
pilot-0164,missing_semantics_role,EventFahrplan__EventFahrplan,EventFahrplan__EventFahrplan/app/src/main/java/nerd/tuxmobil/fahrplan/congress/settings/widgets/EngelsystemShiftsUrlPreference.kt,EngelsystemShiftsUrlPreference,.clickable without Role,"
@Composable
internal fun EngelsystemShiftsUrlPreference(
    engelsystemShiftsUrl: String,
    showDivider: Boolean = false,
    onClick: () -> Unit,
) {
    PreferenceItemContainer(showDivider = showDivider) {
        Column(
            modifier = Modifier
                .fillMaxWidth()
                .minimumInteractiveComponentSize()
                .clickable(onClick = onClick)
                .padding(
                    horizontal = PREFERENCE_HORIZONTAL_PADDING_DP.dp,
                    vertical = PREFERENCE_VERTICAL_PADDING_DP.dp,",,
pilot-0145,missing_merge_descendants,maxwhipw__marmalade-tts-android,maxwhipw__marmalade-tts-android/app/src/main/java/app/marmalade/tts/ui/onboarding/OnboardingScreen.kt,EnginePickStep,"clickable Row with 3 Text children, no mergeDescendants","
@Composable
private fun EnginePickStep(
    padding: PaddingValues,
    cards: List<EngineCardState>,
    probePending: Boolean,
    selectedIds: Set<String>,
    onToggle: (String) -> Unit,
    onInstall: () -> Unit,
    onBack: () -> Unit,
    onSkip: () -> Unit,
) {
    Column(
        modifier = Modifier
            .fillMaxSize()
            .padding(padding)",,
pilot-0280,textfield_no_label,maxwhipw__marmalade-tts-android,maxwhipw__marmalade-tts-android/app/src/main/java/app/marmalade/tts/ui/screen/VoicePickerScreen.kt,VoicePickerScreen,OutlinedTextField with placeholder but no label,"@OptIn(ExperimentalMaterial3Api::class)
@Composable
fun VoicePickerScreen(
    onBack: () -> Unit,
    onVoiceSelected: () -> Unit,
    viewModel: VoicePickerViewModel = hiltViewModel(),
) {
    val tree by viewModel.voiceTree.collectAsStateWithLifecycle()
    val installedEngines by viewModel.installedEngines.collectAsStateWithLifecycle()
    val selectedId by viewModel.selectedId.collectAsStateWithLifecycle()
    val previewState by viewModel.previewState.collectAsStateWithLifecycle()
    val pickerState by viewModel.pickerState.collectAsStateWithLifecycle()
    val latency by viewModel.voiceLatency.collectAsStateWithLifecycle()
    val contentReady by viewModel.contentReady.collectAsStateWithLifecycle()

    val modelMissingState = previewState as? PreviewState.ModelMissing",,
pilot-0171,missing_semantics_role,Nevodev__Cresto,Nevodev__Cresto/app/src/main/java/com/nevoit/cresto/ui/components/glasense/GlasenseMenu.kt,CustomSelectiveMenuItem,.clickable without Role,"
@Composable
private fun CustomSelectiveMenuItem(
    text: String,
    icon: Painter? = null,
    isSelected: () -> Boolean,
    onClick: () -> Unit
) {
    val contentColor = AppColors.content
    val interactionSource = remember { MutableInteractionSource() }
    Row(
        modifier = Modifier
            .height(48.dp)
            .fillMaxWidth()
            .clickable(
                interactionSource = interactionSource,",,
pilot-0233,progress_no_semantics,AhmadHassan-BTed__Parchment,AhmadHassan-BTed__Parchment/app/src/main/java/ted/parchment/reader/ui/components/PdfThumbnail.kt,PdfThumbnail,CircularProgressIndicator without progressSemantics," */
@Composable
fun PdfThumbnail(fileName: String) {
    val context = LocalContext.current
    var bitmap by remember { mutableStateOf<Bitmap?>(null) }
    var isLoading by remember { mutableStateOf(true) }
    val scope = rememberCoroutineScope()

    DisposableEffect(fileName) {
        val job = scope.launch(Dispatchers.IO) {
            var pfd: ParcelFileDescriptor? = null
            var pdfRenderer: PdfRenderer? = null
            var page: PdfRenderer.Page? = null

            try {
                pfd = PdfUtils.getPdfFileDescriptor(context, fileName)",,
pilot-0126,missing_interaction_semantics,chmouel__liseur,chmouel__liseur/app/src/main/kotlin/com/chmouel/liseur/reader/chrome/ContentsScreen.kt,AnnotationRow,.clickable without onClickLabel,"
@Composable
private fun AnnotationRow(
    annotation: BookAnnotation,
    theme: ReaderTheme,
    expanded: Boolean,
    onClick: () -> Unit,
    onToggleExpanded: () -> Unit,
    onDelete: () -> Unit,
) {
    val excerpt = annotation.text?.trim()?.takeIf { it.isNotEmpty() }
    val note = annotation.note?.trim()?.takeIf { it.isNotEmpty() }
    val bookNote = annotation.kind == AnnotationKind.BOOK_NOTE.name
    // Keyed on the words themselves: a mark keeps its id when it is edited,
    // so a note trimmed down to nothing would otherwise leave a ""Show more""
    // behind with nothing left to show.",,
pilot-0080,error_state_no_semantics,Darkrock-Studios__FastTrack,Darkrock-Studios__FastTrack/app/src/main/java/com/darkrockstudios/apps/fasttrack/screens/profile/ProfileScreen.kt,ProfileDataEntryCard,isError set without semantics { error(...) },"
@Composable
fun ProfileDataEntryCard(
	isMetric: Boolean,
	heightCm: String,
	heightFeet: String,
	heightInches: String,
	weightKg: String,
	weightLbs: String,
	age: String,
	gender: Gender,
	heightCmError: String?,
	heightFeetError: String?,
	heightInchesError: String?,
	weightKgError: String?,
	weightLbsError: String?,",,
pilot-0103,missing_heading_semantics,nikbulavin__flick,nikbulavin__flick/feature/movie/src/main/kotlin/ru/resodostudio/flick/feature/movie/MovieScreen.kt,MovieHeader,headlineSmall text without heading(),"
@Composable
private fun MovieHeader(movie: Movie) {
    Row(
        modifier = Modifier.padding(start = 16.dp, end = 16.dp, top = 16.dp),
        horizontalArrangement = Arrangement.spacedBy(16.dp),
        verticalAlignment = Alignment.Top
    ) {
        FlickAsyncImage(
            url = movie.backdropPath,
            contentDescription = null,
            modifier = Modifier
                .size(width = 130.dp, height = 181.dp)
                .clip(RoundedCornerShape(12.dp)),
        )
",,
pilot-0278,textfield_no_label,Waboodoo__HTTP-Shortcuts,Waboodoo__HTTP-Shortcuts/HTTPShortcuts/app/src/main/kotlin/ch/rmy/android/http_shortcuts/activities/documentation/DocumentationScreen.kt,SearchBar,TextField with placeholder but no label,"
@Composable
private fun SearchBar(
    modifier: Modifier = Modifier,
    query: String,
    results: Pair<Int, Int>?,
    onQueryChanged: (String?) -> Unit,
    onNext: (SearchDirection) -> Unit,
) {
    val focusRequester = remember {
        FocusRequester()
    }
    val keyboard = LocalSoftwareKeyboardController.current

    Row(
        modifier = Modifier",,
pilot-0087,missing_content_description,Pool-Of-Tears__Myne,Pool-Of-Tears__Myne/app/src/main/java/com/starry/myne/ui/screens/settings/composables/SettingsItems.kt,SettingItem,contentDescription = null,"
@Composable
fun SettingItem(icon: ImageVector, mainText: String, subText: String, onClick: () -> Unit) {
    val view = LocalView.current
    Card(
        onClick = {
            view.weakHapticFeedback()
            onClick()
        },
        colors = CardDefaults.cardColors(
            containerColor = MaterialTheme.colorScheme.surfaceColorAtElevation(3.dp)
        ),
        modifier = Modifier
            .padding(bottom = 8.dp)
            .fillMaxWidth()
            .wrapContentHeight(),",,
pilot-0076,error_state_no_semantics,AmrDeveloper__LinkHub,AmrDeveloper__LinkHub/app/src/main/java/com/amrdeveloper/linkhub/ui/link/LinkScreen.kt,LinkInputField,isError set without semantics { error(...) },"
@Composable
private fun LinkInputField(
    label: String,
    value: String,
    errorMessage: String,
    onValueChange: (String) -> Unit
) {
    OutlinedTextField(
        value = value,
        onValueChange = { onValueChange(it) },
        label = { Text(text = label) },
        leadingIcon = {
            Icon(
                painter = painterResource(R.drawable.ic_link),
                contentDescription = ""Link Icon"",",,
pilot-0085,missing_content_description,fflopsi__mensa-zh,fflopsi__mensa-zh/app/src/main/java/ch/florianfrauenfelder/mensazh/ui/main/detail/MenuRow.kt,MenuRow,contentDescription = null,"
@Composable
fun MenuRow(
  menu: Menu,
  selected: Boolean,
  select: (Menu) -> Unit,
  autoShowImage: Boolean,
  modifier: Modifier = Modifier,
) {
  val context = LocalContext.current
  val clipboard = LocalClipboard.current
  val haptics = LocalHapticFeedback.current
  val scope = rememberCoroutineScope()

  var showMore by rememberSaveable { mutableStateOf(if (autoShowImage) selected else false) }
  val painter = rememberAsyncImagePainter(model = menu.imageUrl)",,
pilot-0060,decorative_mislabeled,AmrDeveloper__LinkHub,AmrDeveloper__LinkHub/app/src/main/java/com/amrdeveloper/linkhub/ui/explorer/ExplorerScreen.kt,FolderHeader,"decorative with description ""Folder Icon""","
@Composable
private fun FolderHeader(folder: Folder) {
    Row(modifier = Modifier.padding(16.dp), verticalAlignment = Alignment.CenterVertically) {
        Icon(
            painter = painterResource(id = folder.folderColor.drawableId),
            contentDescription = ""Folder Icon"",
            tint = Color.Unspecified
        )

        Spacer(modifier = Modifier.width(8.dp))

        Text(text = ""/${folder.name}"")
    }
}
",,
pilot-0267,textfield_no_label,raheemadamboev__todo-app,raheemadamboev__todo-app/app/src/main/java/xyz/teamgravity/todo/presentation/component/textfield/TodoTextField.kt,TodoTextField,TextField with placeholder but no label,"
@Composable
fun TodoTextField(
    value: String,
    onValueChange: (value: String) -> Unit
) {
    TextField(
        value = value,
        onValueChange = onValueChange,
        placeholder = {
            TextPlain(
                id = R.string.task_name
            )
        },
        colors = TextFieldDefaults.colors(
            focusedContainerColor = Color.Transparent,",,
pilot-0300,touch_target_size,isotjs__todosian-app,isotjs__todosian-app/app/src/main/java/com/isotjs/todosian/ui/components/TodoRow.kt,DateMetaRow,size(18.dp) on interactive element,"
@Composable
private fun DateMetaRow(
    label: String,
    icon: ImageVector?,
    value: String?,
    allowClear: Boolean,
    onPick: (String) -> Unit,
    onClear: () -> Unit,
    modifier: Modifier = Modifier,
) {
    val context = LocalContext.current
    Row(
        verticalAlignment = Alignment.CenterVertically,
        horizontalArrangement = Arrangement.spacedBy(10.dp),
        modifier = modifier.fillMaxWidth(),",,
pilot-0114,missing_heading_semantics,XiaochangXu__HeartRateMonitor-composeui,XiaochangXu__HeartRateMonitor-composeui/android/feature/main/src/main/java/com/github/heartratemonitor_compose/ui/main/DevicesScreen.kt,DevicesScreen,headlineSmall text without heading(),"@OptIn(ExperimentalMaterial3Api::class, ExperimentalMaterial3ExpressiveApi::class)
@Composable
fun DevicesScreen(
    viewModel: MainViewModel,
    onNavigateBack: () -> Unit
) {
    val context = LocalContext.current

    val uiState by viewModel.devicesUiState.collectAsStateWithLifecycle()
    val scanResults = uiState.scanResults
    val appStatus = uiState.appStatus
    val searchTipShown = uiState.searchTipShown
    val connectingDeviceId = uiState.connectingDeviceId
    val favoriteDeviceId = uiState.favoriteDeviceId
    val connectedDevice = uiState.connectedDevice
",,
