rater_row_id,item_id,detector_category,A_verdict,B_verdict,A_category,B_category,A_notes,B_notes,adjudicated_verdict,adjudicated_category,adjudicator_notes
r0048,pilot-0230,progress_no_semantics,HANDLED,HANDLED,progress_no_semantics,none,"Duplicate of r0005 (same file, same anchor line 365). LinearProgressIndicator already has semantics { stateDescription }.",The Material progress indicator keeps range semantics and adds an explicit percentage state description.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0049,pilot-0112,missing_heading_semantics,NO_ISSUE,ISSUE,none,missing_heading_semantics,"Book title in a grid card borrows headlineMedium fontStyle at 18sp; a card label is not a page heading, so heading() is not expected. Title and author both maxLines=1 + Ellipsis, truncating unique text at large scale.","The text functions as a screen, dialog, card, or section heading, but typography alone does not expose heading semantics.",NO_ISSUE,,
r0050,pilot-0232,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,Bare CircularProgressIndicator with no semantics and no text. Color.Black hardcoded over an unknown background.,The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,none,R1 framework supplies progress role; no label -> other_issues
r0051,pilot-0181,missing_state_description,NO_ISSUE,HANDLED,none,none,Canonical Row.toggleable(role=Role.Switch) with Switch(onCheckedChange=null); label merges into the toggle. Correct.,The parent uses toggleable/selectable semantics with the correct role and label; the child control is display-only.,HANDLED,,
r0053,pilot-0240,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,Indeterminate CircularProgressIndicator with no semantics; sibling 'Exporting...' Text partially mitigates but is not associated. Same pattern as r0006.,The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,none,R1 framework supplies progress role; no label -> other_issues
r0054,pilot-0076,error_state_no_semantics,HANDLED,HANDLED,error_state_no_semantics,none,OutlinedTextField with isError and supportingText showing errorMessage; default error semantics plus merged supportingText.,The field receives visible supporting/error content (or an error-label parameter) together with its error state.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0055,pilot-0298,touch_target_size,ISSUE,ISSUE,clickable_icon_not_iconbutton,touch_target_size,"Icon with .clickable directly, contentDescription=null, 40dp: an unnamed, roleless, undersized control. Same on the line-weight Icon below.","The visible clickable element is constrained below the 48 dp minimum, with no larger hit area in the visible modifier chain.",ISSUE,clickable_icon_not_iconbutton,CATEGORY ONLY: both agree on verdict; pick category
r0057,pilot-0098,missing_content_description,NO_ISSUE,HANDLED,none,none,44dp Box is a non-interactive icon container in a header row; touch target does not apply. The Icon is null and may carry transfer-direction meaning not present in the text.,"The icon/image is decorative within a labeled parent, so a null content description correctly avoids duplicate speech.",HANDLED,,
r0059,pilot-0193,missing_state_description,ISSUE,ISSUE,missing_merge_descendants,missing_interaction_semantics,"Switch in ListItem trailingContent with its own onCheckedChange; ListItem does not merge, so the Switch is a separate node with no name tied to the headline text. Switch state itself is announced natively.",The toggle/radio/checkbox is not given a merged label and stateful role at the actionable node.,ISSUE,missing_merge_descendants,CATEGORY ONLY: both agree on verdict; pick category
r0060,pilot-0026,color_contrast,UNSURE,UNSURE,color_contrast,,Container color is a 34%-alpha dark literal composited over a backdrop; resulting text contrast depends on runtime layering and cannot be computed from source.,"The final foreground/background pair depends on theme values, alpha compositing, or a backdrop not resolved in the visible source.",UNSURE,,CATEGORY ONLY: both agree on verdict; pick category
r0061,pilot-0233,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,"24dp CircularProgressIndicator shown while a thumbnail loads, no semantics. Low-stakes inline loader inside a thumbnail, hence medium.",The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,none,R1 framework supplies progress role; no label -> other_issues
r0062,pilot-0060,decorative_mislabeled,ISSUE,ISSUE,decorative_mislabeled,none,"Icon described as 'Folder Icon' beside a Text of the folder name; the description adds nothing and is read as noise. Color-coded folder icon might carry meaning, but the string does not convey the color.",The spoken label is a hard-coded string rather than a localized resource.,ISSUE,decorative_mislabeled,R5 localization is out of scope; A label stands
r0063,pilot-0007,clickable_icon_not_iconbutton,NO_ISSUE,HANDLED,none,none,"Box.clickable with role=Role.Button and onClickLabel=description, inner Icon null. Correct icon-button pattern; 44dp is under 48 but this is a deliberate compact control with full semantics.",The click target supplies an explicit role/action label or selected-state semantics at the actionable node.,HANDLED,,
r0064,pilot-0186,missing_state_description,ISSUE,ISSUE,missing_merge_descendants,missing_interaction_semantics,Label Text and Switch are unassociated siblings in an unmerged Row with a weight Spacer between; Switch focuses as a nameless node. State is announced natively.,The toggle/radio/checkbox is not given a merged label and stateful role at the actionable node.,ISSUE,missing_merge_descendants,CATEGORY ONLY: both agree on verdict; pick category
r0065,pilot-0174,missing_semantics_role,ISSUE,NO_ISSUE,missing_semantics_role,none,"Row.clickable with no role; decorative Icon + Text supply the name via merge. Padding is applied before clickable, so the touch area excludes the padding and is only icon/text height.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0066,pilot-0031,color_contrast,UNSURE,UNSURE,color_contrast,,Strength color literals (#EF4444/#F59E0B/#10B981) used for a strength indicator; the background they render against is not in the window. #F59E0B on white is roughly 2.2:1 and would fail if used for text.,"The final foreground/background pair depends on theme values, alpha compositing, or a backdrop not resolved in the visible source.",UNSURE,,CATEGORY ONLY: both agree on verdict; pick category
r0067,pilot-0023,color_contrast,UNSURE,UNSURE,color_contrast,,32%-alpha container over a backdrop; text contrast depends on runtime compositing. Same pattern as r0060.,"The final foreground/background pair depends on theme values, alpha compositing, or a backdrop not resolved in the visible source.",UNSURE,,CATEGORY ONLY: both agree on verdict; pick category
r0068,pilot-0257,text_truncation_scaling,ISSUE,HANDLED,text_truncation_scaling,none,"Article title headlineSmall with maxLines=1 + Ellipsis. Mitigated by horizontalScroll on the same Text, which a screen reader does not need and sighted users can pan; borderline.","The single-line title is placed in a horizontal scroll container, preserving access to the full enlarged text.",HANDLED,,
r0069,pilot-0057,decorative_mislabeled,NO_ISSUE,ISSUE,none,none,WikipediaLinkButton given a meaningful contentDescription 'Open source article'. Appropriate for an icon-only action.,The spoken label is a hard-coded string rather than a localized resource.,NO_ISSUE,none,R5 localization is out of scope; A label stands
r0070,pilot-0187,missing_state_description,ISSUE,ISSUE,missing_merge_descendants,missing_interaction_semantics,Switch and its descriptive Text are siblings in an unmerged Row; the Switch node has no name. State announced natively.,The toggle/radio/checkbox is not given a merged label and stateful role at the actionable node.,ISSUE,missing_merge_descendants,CATEGORY ONLY: both agree on verdict; pick category
r0072,pilot-0127,missing_interaction_semantics,ISSUE,NO_ISSUE,missing_semantics_role,none,"Calendar day cell Box.clickable with no role; name is the day number via merged Text. Selected/today state is conveyed only by color and weight, not semantics. Cell size depends on parent grid so target size is unknown.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0073,pilot-0231,progress_no_semantics,HANDLED,NO_ISSUE,progress_no_semantics,none,"Determinate M3 LinearProgressIndicator with a progress lambda; the framework applies progressSemantics(progress) internally, so the value is announced.",The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,,
r0075,pilot-0130,missing_interaction_semantics,ISSUE,NO_ISSUE,missing_semantics_role,none,42dp Box.clickable with no role; name comes from the Icon's contentDescription. Selected state is expressed only by enabled=!isSelected and colors.,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0076,pilot-0283,touch_target_size,ISSUE,ISSUE,missing_content_description,touch_target_size,"44dp Box.clickable whose only child is a Canvas: no accessible name, no role, selection drawn only as a ring. Color swatch picker is unusable with TalkBack.","The visible clickable element is constrained below the 48 dp minimum, with no larger hit area in the visible modifier chain.",ISSUE,missing_interaction_semantics,CATEGORY ONLY: both agree on verdict; pick category
r0077,pilot-0083,missing_content_description,NO_ISSUE,ISSUE,none,none,IconButton with Icon 'Back'. Correct. The favorite IconButton in the same bar toggles state but keeps a static 'Favorite' description; IconToggleButton or stateDescription would fix it.,The spoken label is a hard-coded string rather than a localized resource.,NO_ISSUE,none,R5 localization is out of scope; A label stands
r0079,pilot-0067,error_state_no_semantics,UNSURE,NO_ISSUE,error_state_no_semantics,none,isError only drives colors and a Tone passed into custom SectionRow; the text input itself is not in the window.,"The anchor is a local Boolean state value, not a text-field error presentation.",NO_ISSUE,,
r0080,pilot-0289,touch_target_size,ISSUE,ISSUE,clickable_icon_not_iconbutton,touch_target_size,"TopAppBar back Icon with .clickable directly, contentDescription=null, 26dp: nameless, roleless, undersized. Same on the video-call Icon.","The visible clickable element is constrained below the 48 dp minimum, with no larger hit area in the visible modifier chain.",ISSUE,clickable_icon_not_iconbutton,CATEGORY ONLY: both agree on verdict; pick category
r0081,pilot-0164,missing_semantics_role,ISSUE,NO_ISSUE,missing_semantics_role,none,"Preference Column.clickable with minimumInteractiveComponentSize (target size handled) and merged Text name, but no role=Role.Button.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0082,pilot-0155,missing_merge_descendants,NO_ISSUE,HANDLED,none,none,"ListItem with Modifier.clickable; clickable merges descendants, so headline and supporting text form one node. Merge is not missing. No role on the clickable.",The actionable container's clickable semantics already provide the grouping boundary for its descendant label content.,HANDLED,,
r0084,pilot-0125,missing_interaction_semantics,ISSUE,NO_ISSUE,missing_semantics_role,none,"Card container with .clickable and no role; name comes from merged repo text. Custom GSYCardItem may add semantics internally, hence medium.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0085,pilot-0080,error_state_no_semantics,HANDLED,HANDLED,error_state_no_semantics,none,"OutlinedTextField with label and isError; framework announces generic 'Error'. The message is a sibling Text, not supportingText, so it is not associated with the field. Partial.",The field receives visible supporting/error content (or an error-label parameter) together with its error state.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0088,pilot-0073,error_state_no_semantics,HANDLED,HANDLED,error_state_no_semantics,none,"OutlinedTextField with label and isError; generic 'Error' announced by framework. 'They don't match.' is a sibling Text, not supportingText. Partial.",The field receives visible supporting/error content (or an error-label parameter) together with its error state.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0089,pilot-0016,clickable_icon_not_iconbutton,ISSUE,NO_ISSUE,missing_semantics_role,none,"Row.clickable with no role. Name comes from the merged warning Icon description and text children, which is adequate.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0090,pilot-0011,clickable_icon_not_iconbutton,ISSUE,ISSUE,missing_state_description,missing_semantics_role,"SelectableRow with a checked parameter uses plain .clickable(onToggle): no toggleable, no role, no state exposed. TalkBack cannot tell whether the row is checked.",The clickable row changes a checked state but exposes neither the proper toggle role/state nor a single merged toggle action.,ISSUE,missing_state_description,CATEGORY ONLY: both agree on verdict; pick category
r0091,pilot-0195,missing_state_description,ISSUE,ISSUE,missing_merge_descendants,missing_interaction_semantics,Label Text and Switch are unassociated siblings in an unmerged Row; Switch focuses without a name. State announced natively.,The toggle/radio/checkbox is not given a merged label and stateful role at the actionable node.,ISSUE,missing_merge_descendants,CATEGORY ONLY: both agree on verdict; pick category
r0093,pilot-0069,error_state_no_semantics,HANDLED,HANDLED,error_state_no_semantics,none,OutlinedTextField with isError and supportingText carrying the error message; default error semantics plus merged supportingText.,The field receives visible supporting/error content (or an error-label parameter) together with its error state.,HANDLED,,CATEGORY ONLY: both agree on verdict; pick category
r0094,pilot-0225,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,"Demo composable with bare CircularProgressIndicator() and LinearProgressIndicator() indeterminate, no labels; determinate ones below are handled by framework progressSemantics. Anchor is the function declaration, so scope is the whole function.",The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,none,R1 framework supplies progress role; no label -> other_issues
r0096,pilot-0017,clickable_icon_not_iconbutton,ISSUE,NO_ISSUE,clickable_icon_not_iconbutton,none,Skip-previous Icon with .clickable directly; padding is applied before clickable so the target is only 24dp. contentDescription is present. Play/pause next to it correctly uses FilledTonalIconButton at 48dp.,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,clickable_icon_not_iconbutton,R3 named but roleless raw .clickable; confirm <48dp if downgrading
r0098,pilot-0148,missing_merge_descendants,NO_ISSUE,HANDLED,none,none,"Anchor Column sits inside a Row that is .clickable; clickable merges descendants, so the texts already form one node. Merge not missing. Row lacks role and Color(0xFF81D4FA) is hardcoded.",The actionable container's clickable semantics already provide the grouping boundary for its descendant label content.,HANDLED,,
r0101,pilot-0229,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,Bare indeterminate CircularProgressIndicator with no label or text; focusable as a nameless progress bar.,The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,none,R1 framework supplies progress role; no label -> other_issues
r0102,pilot-0070,error_state_no_semantics,UNSURE,HANDLED,error_state_no_semantics,none,"isError and an errorLabel slot are passed into a custom EmailField; the TextField is not in the window. The errorLabel slot suggests the message is rendered, but association is unknown.",The field receives visible supporting/error content (or an error-label parameter) together with its error state.,UNSURE,,
r0103,pilot-0032,color_contrast,UNSURE,NO_ISSUE,color_contrast,none,Card background is a navy gradient (#001F3F); text colors inside are not in the window.,The visible explicit foreground/background combination has adequate contrast at this anchor.,UNSURE,,
r0104,pilot-0184,missing_state_description,ISSUE,ISSUE,missing_semantics_role,missing_interaction_semantics,"Demo RadioButtons with no labels; each is announced only as 'radio button, selected'. Demo code, so intent is illustrative; RadioButton itself supplies role and state.",The toggle/radio/checkbox is not given a merged label and stateful role at the actionable node.,ISSUE,missing_interaction_semantics,CATEGORY ONLY: both agree on verdict; pick category
r0105,pilot-0266,textfield_no_label,ISSUE,NO_ISSUE,textfield_no_label,none,OutlinedTextField with placeholder 'Untitled' and no label; the h3 Text above is not associated.,"The imported TextField is a project-specific wrapper, so the Material TextField detector does not apply at this anchor.",NO_ISSUE,,
r0106,pilot-0226,progress_no_semantics,ISSUE,NO_ISSUE,progress_no_semantics,none,Indeterminate CircularProgressIndicator with a sibling 'scanning songs' Text not programmatically associated. Same pattern as r0006.,The imported Material progress indicator supplies progress-bar semantics by default.,HANDLED,none,R1 framework supplies progress role; no label -> other_issues
r0108,pilot-0019,clickable_icon_not_iconbutton,ISSUE,NO_ISSUE,missing_semantics_role,none,LinkButton Row.clickable with no role; name from merged Text. 18dp icon + text with 4dp padding likely under 48dp tall.,The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0109,pilot-0182,missing_state_description,ISSUE,ISSUE,missing_merge_descendants,missing_interaction_semantics,Switch with its own onCheckedChange beside a Column of title/description text in an unmerged Row; the Switch node has no name. Same pattern on the periodic-updates row below.,The toggle/radio/checkbox is not given a merged label and stateful role at the actionable node.,ISSUE,missing_merge_descendants,CATEGORY ONLY: both agree on verdict; pick category
r0110,pilot-0097,missing_content_description,NO_ISSUE,HANDLED,none,none,Anchor Icon is decorative (null) inside a clickable Row whose Text provides the name via merge. Correct. The Row lacks a role.,"The icon/image is decorative within a labeled parent, so a null content description correctly avoids duplicate speech.",HANDLED,,
r0111,pilot-0133,missing_interaction_semantics,ISSUE,NO_ISSUE,missing_semantics_role,none,"Duplicate of r0108 (same file, same anchor 199). LinkButton Row.clickable with no role and a small target.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
r0113,pilot-0087,missing_content_description,NO_ISSUE,HANDLED,none,none,Decorative Icon (null) in a 40dp Box beside a text label in a settings row. Correct decorative treatment.,"The icon/image is decorative within a labeled parent, so a null content description correctly avoids duplicate speech.",HANDLED,,
r0115,pilot-0246,text_truncation_scaling,NO_ISSUE,ISSUE,none,text_truncation_scaling,TopAppBar title with maxLines=1 + Ellipsis. App bar titles are conventionally single-line and TalkBack still reads the full text; visual truncation is expected here.,A single-line/max-lines constraint with clipping or ellipsis can hide essential text when font scaling or localization expands it.,NO_ISSUE,,R4 MANUAL: unique content? ISSUE(low) : NO_ISSUE
r0117,pilot-0147,missing_merge_descendants,ISSUE,NO_ISSUE,missing_merge_descendants,none,Name and login Texts in a Column beside an avatar with no merge and no visible clickable in the window; each Text is announced separately. If the parent row is clickable above the window this would be handled.,"Merging at this container would incorrectly collapse separate text, controls, or an entire screen/dialog into one accessibility node.",ISSUE,missing_merge_descendants,
r0118,pilot-0293,touch_target_size,ISSUE,ISSUE,clickable_icon_not_iconbutton,touch_target_size,"Icon with .clickable directly, contentDescription=null, inside a 32dp Box: nameless, roleless, undersized video-call action.","The visible clickable element is constrained below the 48 dp minimum, with no larger hit area in the visible modifier chain.",ISSUE,clickable_icon_not_iconbutton,CATEGORY ONLY: both agree on verdict; pick category
r0119,pilot-0198,missing_state_description,ISSUE,ISSUE,missing_merge_descendants,missing_interaction_semantics,Switch and label Text are unassociated siblings in an unmerged Row; the Switch focuses without a name. Same on the second row.,The toggle/radio/checkbox is not given a merged label and stateful role at the actionable node.,ISSUE,missing_merge_descendants,CATEGORY ONLY: both agree on verdict; pick category
r0121,pilot-0056,decorative_mislabeled,ISSUE,ISSUE,decorative_mislabeled,none,"Blurred, faded album art used as a backdrop is described 'Album Image', which is noise. Separately, the back Button's Icon is described 'Settings', a wrong name for a back action.",The spoken label is a hard-coded string rather than a localized resource.,ISSUE,decorative_mislabeled,R5 localization is out of scope; A label stands
r0122,pilot-0173,missing_semantics_role,ISSUE,NO_ISSUE,missing_semantics_role,none,"Column made .clickable when onClick is non-null, no role; label and value Texts merge into the name via clickable.",The clickable container has meaningful descendant text or image description that supplies its accessible name.,ISSUE,missing_semantics_role,R2 missing Role.Button on clickable container
