rater_row_id,verdict,issue_category,confidence,other_issues,notes
r0027,HANDLED,touch_target_size,medium,missing_content_description,"FloatingActionButton with explicit .size(40.dp). M3 FAB wraps a clickable Surface which applies minimumInteractiveComponentSize, so the touch target is padded to 48dp unless disabled. Separately the FAB's only content is a '+' Text, giving a poor accessible name."
r0028,NO_ISSUE,none,medium,missing_content_description,40dp Box is a non-interactive tinted icon container inside a card row; touch target does not apply. The direction Icon inside has contentDescription=null but conveys send/receive/stored meaning that may not be in the card text.
r0029,NO_ISSUE,none,high,,Row of three Buttons in a demo screen; merging descendants would collapse independent controls.
r0030,ISSUE,progress_no_semantics,medium,,CircularProgressIndicator() with no semantics replaces the search button while searching; neither the progress nor the state change is announced.
r0031,ISSUE,clickable_icon_not_iconbutton,high,"touch_target_size,missing_semantics_role","Icon with .clickable directly (unbounded ripple) instead of IconButton. contentDescription is present, but no role, and 24dp icon + small padding is well under 48dp. Same pattern on the next-arrow Icon."
r0032,ISSUE,missing_semantics_role,medium,missing_content_description,Clickable GlideImage named by person.name but no role=Role.Button. The fallback branch (Box + Icon with null) is clickable with no accessible name at all.
r0033,UNSURE,color_contrast,low,,"Axis tick labels in Color(0xFF90A4AE) at 10sp over a chart background not resolvable from source. Fails 4.5:1 on white, passes on dark; cannot decide."
r0034,ISSUE,color_contrast,high,,"Button with containerColor #D2D97A and contentColor #FFFFFF: computed contrast roughly 1.5:1, far below 4.5:1. Both literals are in the anchor so this is decidable from source."
r0035,ISSUE,pointerinput_no_semantics,medium,,Long-press drag-to-reorder via detectDragGesturesAfterLongPress with no semantics or customActions offering move-up/move-down; reordering is gesture-only.
r0036,NO_ISSUE,none,medium,color_contrast,"Anchor is body copy (movie overview) styled headlineSmall; it is not a heading, so heading() would be wrong. Separately Color.White is hardcoded over a backdrop image, unresolvable."
r0037,ISSUE,missing_content_description,high,"touch_target_size,missing_semantics_role","32dp clickable Box whose only content is an Icon with null description and no semantics on the Box: the control has no accessible name, no role, and is under 48dp."
r0038,NO_ISSUE,none,high,missing_semantics_role,Anchor Icon is decorative (null) inside a clickable Row whose Text children supply the name via merged semantics. Correct. The Row itself lacks role=Role.Button.
r0039,NO_ISSUE,none,high,,"IconButton wrapping an Icon with contentDescription 'Back'. Correct pattern; hardcoded string is i18n, not one of the 15."
r0040,HANDLED,error_state_no_semantics,medium,,TextField with isError and a supportingText slot that switches to error color; Material default error semantics plus merged supportingText announce the error state and message.
r0041,NO_ISSUE,none,high,,IconButton with a descriptive contentDescription on the Icon. Correct.
r0042,UNSURE,error_state_no_semantics,low,,isError is passed into a custom NameSection composable whose TextField is not in the window; cannot tell whether error semantics are applied inside.
r0043,NO_ISSUE,none,high,,"Anchor is a Spacer with .size(16.dp); not interactive, so touch target does not apply. Detector misfire on .size()."
r0044,HANDLED,error_state_no_semantics,medium,,"Material (M2, body1) TextField with isError applies default 'Error' semantics. The AnimatedValidatorMessage is a sibling, not merged, so the specific message is not tied to the field."
r0045,HANDLED,error_state_no_semantics,low,,"OutlinedTextField with label and isError; framework announces generic 'Error'. The message text lives in a separate ResultsDisplay composable and is not associated with the field, so mitigation is partial."
r0046,HANDLED,error_state_no_semantics,medium,,TextField with isError and supportingText carrying the error string; default error semantics plus merged supportingText cover it.
r0047,ISSUE,progress_no_semantics,high,,Overlay CircularProgressIndicator shown while isLoading with no semantics; loading state is silent to TalkBack.
r0048,HANDLED,progress_no_semantics,high,,"Duplicate of r0005 (same file, same anchor line 365). LinearProgressIndicator already has semantics { stateDescription }."
r0049,NO_ISSUE,none,medium,text_truncation_scaling,"Book title in a grid card borrows headlineMedium fontStyle at 18sp; a card label is not a page heading, so heading() is not expected. Title and author both maxLines=1 + Ellipsis, truncating unique text at large scale."
r0050,ISSUE,progress_no_semantics,high,color_contrast,Bare CircularProgressIndicator with no semantics and no text. Color.Black hardcoded over an unknown background.
r0051,NO_ISSUE,none,high,,Canonical Row.toggleable(role=Role.Switch) with Switch(onCheckedChange=null); label merges into the toggle. Correct.
r0052,NO_ISSUE,none,high,missing_heading_semantics,"Column is the whole onboarding step (title, body, cards, buttons); merging is inappropriate. The headlineSmall title at ~302 has no heading()."
r0053,ISSUE,progress_no_semantics,low,,Indeterminate CircularProgressIndicator with no semantics; sibling 'Exporting...' Text partially mitigates but is not associated. Same pattern as r0006.
r0054,HANDLED,error_state_no_semantics,medium,,OutlinedTextField with isError and supportingText showing errorMessage; default error semantics plus merged supportingText.
r0055,ISSUE,clickable_icon_not_iconbutton,high,"missing_content_description,touch_target_size,missing_semantics_role","Icon with .clickable directly, contentDescription=null, 40dp: an unnamed, roleless, undersized control. Same on the line-weight Icon below."
r0056,ISSUE,textfield_no_label,high,,"Material3 TextField with placeholder only, no label; placeholder vanishes once text is entered."
r0057,NO_ISSUE,none,medium,missing_content_description,44dp Box is a non-interactive icon container in a header row; touch target does not apply. The Icon is null and may carry transfer-direction meaning not present in the text.
r0058,NO_ISSUE,none,high,,IconButton wrapping an Icon with a resource-string contentDescription. Correct.
r0059,ISSUE,missing_merge_descendants,medium,,"Switch in ListItem trailingContent with its own onCheckedChange; ListItem does not merge, so the Switch is a separate node with no name tied to the headline text. Switch state itself is announced natively."
r0060,UNSURE,color_contrast,low,,Container color is a 34%-alpha dark literal composited over a backdrop; resulting text contrast depends on runtime layering and cannot be computed from source.
r0061,ISSUE,progress_no_semantics,medium,,"24dp CircularProgressIndicator shown while a thumbnail loads, no semantics. Low-stakes inline loader inside a thumbnail, hence medium."
r0062,ISSUE,decorative_mislabeled,medium,,"Icon described as 'Folder Icon' beside a Text of the folder name; the description adds nothing and is read as noise. Color-coded folder icon might carry meaning, but the string does not convey the color."
r0063,NO_ISSUE,none,high,,"Box.clickable with role=Role.Button and onClickLabel=description, inner Icon null. Correct icon-button pattern; 44dp is under 48 but this is a deliberate compact control with full semantics."
r0064,ISSUE,missing_merge_descendants,medium,,Label Text and Switch are unassociated siblings in an unmerged Row with a weight Spacer between; Switch focuses as a nameless node. State is announced natively.
r0065,ISSUE,missing_semantics_role,medium,touch_target_size,"Row.clickable with no role; decorative Icon + Text supply the name via merge. Padding is applied before clickable, so the touch area excludes the padding and is only icon/text height."
r0066,UNSURE,color_contrast,low,,Strength color literals (#EF4444/#F59E0B/#10B981) used for a strength indicator; the background they render against is not in the window. #F59E0B on white is roughly 2.2:1 and would fail if used for text.
r0067,UNSURE,color_contrast,low,,32%-alpha container over a backdrop; text contrast depends on runtime compositing. Same pattern as r0060.
r0068,ISSUE,text_truncation_scaling,low,,"Article title headlineSmall with maxLines=1 + Ellipsis. Mitigated by horizontalScroll on the same Text, which a screen reader does not need and sighted users can pan; borderline."
r0069,NO_ISSUE,none,high,,WikipediaLinkButton given a meaningful contentDescription 'Open source article'. Appropriate for an icon-only action.
r0070,ISSUE,missing_merge_descendants,medium,,Switch and its descriptive Text are siblings in an unmerged Row; the Switch node has no name. State announced natively.
r0071,ISSUE,missing_heading_semantics,medium,,Screen-level status title in headlineSmall with no heading().
r0072,ISSUE,missing_semantics_role,medium,missing_state_description,"Calendar day cell Box.clickable with no role; name is the day number via merged Text. Selected/today state is conveyed only by color and weight, not semantics. Cell size depends on parent grid so target size is unknown."
r0073,HANDLED,progress_no_semantics,high,,"Determinate M3 LinearProgressIndicator with a progress lambda; the framework applies progressSemantics(progress) internally, so the value is announced."
r0074,ISSUE,missing_semantics_role,medium,,"Row.selectable without role=Role.RadioButton, and the inner RadioButton keeps its own onClick, producing two focusable targets for one choice. Correct form is RadioButton(onClick=null) inside selectable(role=RadioButton)."
r0075,ISSUE,missing_semantics_role,medium,"touch_target_size,missing_state_description",42dp Box.clickable with no role; name comes from the Icon's contentDescription. Selected state is expressed only by enabled=!isSelected and colors.
r0076,ISSUE,missing_content_description,high,"missing_semantics_role,missing_state_description,touch_target_size","44dp Box.clickable whose only child is a Canvas: no accessible name, no role, selection drawn only as a ring. Color swatch picker is unusable with TalkBack."
r0077,NO_ISSUE,none,high,missing_state_description,IconButton with Icon 'Back'. Correct. The favorite IconButton in the same bar toggles state but keeps a static 'Favorite' description; IconToggleButton or stateDescription would fix it.
r0078,NO_ISSUE,none,high,,FilledIconButton with a resource-string contentDescription on the Icon. Correct.
r0079,UNSURE,error_state_no_semantics,low,,isError only drives colors and a Tone passed into custom SectionRow; the text input itself is not in the window.
r0080,ISSUE,clickable_icon_not_iconbutton,high,"missing_content_description,touch_target_size,missing_semantics_role","TopAppBar back Icon with .clickable directly, contentDescription=null, 26dp: nameless, roleless, undersized. Same on the video-call Icon."
r0081,ISSUE,missing_semantics_role,medium,,"Preference Column.clickable with minimumInteractiveComponentSize (target size handled) and merged Text name, but no role=Role.Button."
r0082,NO_ISSUE,none,medium,missing_semantics_role,"ListItem with Modifier.clickable; clickable merges descendants, so headline and supporting text form one node. Merge is not missing. No role on the clickable."
r0083,ISSUE,clickable_icon_not_iconbutton,high,"missing_content_description,touch_target_size,missing_semantics_role","Duplicate of r0080 (same file, anchor 56 vs 55). Clickable back Icon with null description and 26dp size."
r0084,ISSUE,missing_semantics_role,medium,,"Card container with .clickable and no role; name comes from merged repo text. Custom GSYCardItem may add semantics internally, hence medium."
r0085,HANDLED,error_state_no_semantics,low,,"OutlinedTextField with label and isError; framework announces generic 'Error'. The message is a sibling Text, not supportingText, so it is not associated with the field. Partial."
r0086,ISSUE,missing_heading_semantics,medium,,"Room name in headlineSmall acting as a section heading above a list of toggle options, no heading()."
r0087,ISSUE,missing_heading_semantics,medium,,Dialog title in titleLarge + Bold with no heading(); dialog has no other heading semantics visible.
r0088,HANDLED,error_state_no_semantics,low,,"OutlinedTextField with label and isError; generic 'Error' announced by framework. 'They don't match.' is a sibling Text, not supportingText. Partial."
r0089,ISSUE,missing_semantics_role,medium,,"Row.clickable with no role. Name comes from the merged warning Icon description and text children, which is adequate."
r0090,ISSUE,missing_state_description,medium,missing_semantics_role,"SelectableRow with a checked parameter uses plain .clickable(onToggle): no toggleable, no role, no state exposed. TalkBack cannot tell whether the row is checked."
r0091,ISSUE,missing_merge_descendants,medium,,Label Text and Switch are unassociated siblings in an unmerged Row; Switch focuses without a name. State announced natively.
r0092,ISSUE,missing_heading_semantics,medium,,Onboarding section title in headlineMedium with no heading(); titleSmall sub-headings below have none either.
r0093,HANDLED,error_state_no_semantics,medium,,OutlinedTextField with isError and supportingText carrying the error message; default error semantics plus merged supportingText.
r0094,ISSUE,progress_no_semantics,medium,,"Demo composable with bare CircularProgressIndicator() and LinearProgressIndicator() indeterminate, no labels; determinate ones below are handled by framework progressSemantics. Anchor is the function declaration, so scope is the whole function."
r0095,NO_ISSUE,none,medium,,"Dark gradient background (#393444 to #2A2633) with Color.White and Color.LightGray text; white on #393444 is roughly 11:1 and LightGray roughly 7:1, both pass. Hardcoded but adequate."
r0096,ISSUE,clickable_icon_not_iconbutton,high,"touch_target_size,missing_semantics_role",Skip-previous Icon with .clickable directly; padding is applied before clickable so the target is only 24dp. contentDescription is present. Play/pause next to it correctly uses FilledTonalIconButton at 48dp.
r0097,ISSUE,missing_semantics_role,medium,missing_state_description,"Row.clickable toggles a checkbox but is not toggleable: no role, no checked state on the row, and the inner Checkbox keeps its own onCheckedChange, giving two focus targets. Also Checkbox forced to 24dp."
r0098,NO_ISSUE,none,medium,missing_semantics_role,"Anchor Column sits inside a Row that is .clickable; clickable merges descendants, so the texts already form one node. Merge not missing. Row lacks role and Color(0xFF81D4FA) is hardcoded."
r0099,ISSUE,textfield_no_label,high,,OutlinedTextField in a dialog with placeholder only and no label; dialog title is not associated with the field.
r0100,NO_ISSUE,none,high,,"Anchor is a local var named isError tracking image-load state, not a TextField isError parameter. Detector misfire on the identifier."
r0101,ISSUE,progress_no_semantics,medium,,Bare indeterminate CircularProgressIndicator with no label or text; focusable as a nameless progress bar.
r0102,UNSURE,error_state_no_semantics,low,,"isError and an errorLabel slot are passed into a custom EmailField; the TextField is not in the window. The errorLabel slot suggests the message is rendered, but association is unknown."
r0103,UNSURE,color_contrast,low,,Card background is a navy gradient (#001F3F); text colors inside are not in the window.
r0104,ISSUE,missing_semantics_role,low,missing_merge_descendants,"Demo RadioButtons with no labels; each is announced only as 'radio button, selected'. Demo code, so intent is illustrative; RadioButton itself supplies role and state."
r0105,ISSUE,textfield_no_label,high,,OutlinedTextField with placeholder 'Untitled' and no label; the h3 Text above is not associated.
r0106,ISSUE,progress_no_semantics,low,,Indeterminate CircularProgressIndicator with a sibling 'scanning songs' Text not programmatically associated. Same pattern as r0006.
r0107,NO_ISSUE,none,medium,missing_content_description,"Static status Card with an icon and text; not interactive, and merging is optional for a non-interactive card. The CheckCircle Icon is null but conveys 'ok' status not obviously repeated in text."
r0108,ISSUE,missing_semantics_role,medium,touch_target_size,LinkButton Row.clickable with no role; name from merged Text. 18dp icon + text with 4dp padding likely under 48dp tall.
r0109,ISSUE,missing_merge_descendants,medium,,Switch with its own onCheckedChange beside a Column of title/description text in an unmerged Row; the Switch node has no name. Same pattern on the periodic-updates row below.
r0110,NO_ISSUE,none,high,missing_semantics_role,Anchor Icon is decorative (null) inside a clickable Row whose Text provides the name via merge. Correct. The Row lacks a role.
r0111,ISSUE,missing_semantics_role,medium,touch_target_size,"Duplicate of r0108 (same file, same anchor 199). LinkButton Row.clickable with no role and a small target."
r0112,ISSUE,textfield_no_label,high,,TextField with placeholder (a default URL) and no label; the SectionPanel header is not associated with the field. Error text below is a sibling.
r0113,NO_ISSUE,none,high,,Decorative Icon (null) in a 40dp Box beside a text label in a settings row. Correct decorative treatment.
r0114,ISSUE,text_truncation_scaling,low,,"Chapter name in a dropdown trigger with maxLines=1 + Ellipsis; the name is unique content. Common dropdown pattern, so low."
r0115,NO_ISSUE,none,medium,,TopAppBar title with maxLines=1 + Ellipsis. App bar titles are conventionally single-line and TalkBack still reads the full text; visual truncation is expected here.
r0116,NO_ISSUE,none,high,,"Anchor is textStyle=headlineSmall on an editable text field (task name input). It is user input, not a heading, so heading() does not apply. Detector misfire on the typography token."
r0117,ISSUE,missing_merge_descendants,medium,,Name and login Texts in a Column beside an avatar with no merge and no visible clickable in the window; each Text is announced separately. If the parent row is clickable above the window this would be handled.
r0118,ISSUE,clickable_icon_not_iconbutton,high,"missing_content_description,touch_target_size,missing_semantics_role","Icon with .clickable directly, contentDescription=null, inside a 32dp Box: nameless, roleless, undersized video-call action."
r0119,ISSUE,missing_merge_descendants,medium,,Switch and label Text are unassociated siblings in an unmerged Row; the Switch focuses without a name. Same on the second row.
r0120,ISSUE,pointerinput_no_semantics,medium,,"Test area driven by detectTapGestures with no semantics or role; TalkBack users cannot activate it. Arguably a gesture-testing surface by design, hence medium."
r0121,ISSUE,decorative_mislabeled,medium,missing_content_description,"Blurred, faded album art used as a backdrop is described 'Album Image', which is noise. Separately, the back Button's Icon is described 'Settings', a wrong name for a back action."
r0122,ISSUE,missing_semantics_role,medium,,"Column made .clickable when onClick is non-null, no role; label and value Texts merge into the name via clickable."
r0123,NO_ISSUE,none,high,,Canonical Row.selectable(role=Role.RadioButton) with RadioButton(onClick=null) and merged label. Correct.
r0124,NO_ISSUE,none,medium,,"Full-screen scrim Box.clickable with an empty onClick and no indication, used to block touches behind a dialog. Not a control; TalkBack will still see a nameless clickable, which is a minor annoyance rather than a defect."
r0125,ISSUE,missing_semantics_role,medium,,Surface with Modifier.clickable (not Surface(onClick)) and no role; 56dp tall so target is fine; name comes from merged Text.
r0126,ISSUE,text_truncation_scaling,low,,"Service name and notes both maxLines=1 + Ellipsis in a list card; notes in particular are free text that gets cut. Common list pattern, low."
r0127,ISSUE,color_contrast,high,,"Disabled state sets disabledBackgroundColor and disabledContentColor to the same #979797, and the inner Text hardcodes Color.White: white on #979797 is roughly 2.9:1, failing 4.5:1. Disabled text is exempt under WCAG, but the enabled state also forces white regardless of theme."
r0128,ISSUE,missing_semantics_role,medium,,AnnotationRow Row.clickable with no role; name from merged excerpt/note text.
r0129,UNSURE,none,low,,No anchor line resolved for this row (anchor_text is empty); the window shows a sample section built from a SettingsCheckbox library composable whose internals are not visible. Extraction artifact.
r0130,ISSUE,clickable_icon_not_iconbutton,high,"missing_content_description,touch_target_size,missing_semantics_role","Third copy of the WhatsAppMessageTopBar back Icon (see r0080, r0083). Clickable Icon, null description, 26dp."
r0131,ISSUE,missing_semantics_role,medium,touch_target_size,"Duplicate of r0065 (same file, same anchor 20). Row.clickable with no role; padding applied before clickable so the target excludes it."
r0132,ISSUE,missing_heading_semantics,medium,,Bottom-sheet title in titleLarge with no heading().
r0133,ISSUE,clickable_icon_not_iconbutton,high,"touch_target_size,missing_semantics_role","Duplicate of r0031 (same file, anchor 200). Icon with .clickable directly; described, but roleless and under 48dp."
r0134,ISSUE,missing_heading_semantics,medium,,App name in headlineMedium as the screen header with no heading().
r0135,ISSUE,textfield_no_label,high,,"Search TextField with placeholder only, no label, and indicator colors made transparent; no accessible name persists once a query is typed."
r0136,ISSUE,textfield_no_label,high,,"Search TextField with placeholder only, no label."
r0137,NO_ISSUE,none,high,missing_semantics_role,Card with Modifier.clickable; clickable merges descendants so the option's icon and text form one node. Merge is not missing. No role on the clickable.
r0138,NO_ISSUE,none,medium,missing_semantics_role,"Duplicate of r0082 (same file, anchor 213 vs 212). Clickable ListItem, merge provided by clickable, role missing."
r0139,ISSUE,missing_state_description,medium,"missing_semantics_role,decorative_mislabeled","Settings switch row implemented with plain .clickable that flips checked: no toggleable, no role, no checked state exposed on the row. Also the leading Icon is described as 'Icon', which is noise."
r0140,ISSUE,missing_semantics_role,medium,,"'Go up' Row.clickable with no role; name from merged Icon description and '..' text, which is adequate."
r0141,ISSUE,missing_heading_semantics,medium,,Reusable DialogHeader renders the header in headlineSmall with no heading(); every dialog using it inherits the gap.
r0142,NO_ISSUE,none,high,"missing_heading_semantics,missing_merge_descendants",Anchor Column is the whole recipient picker containing a Switch and other controls; merging is inappropriate. Separately the titleLarge 'Choose recipients' has no heading() and the Switch row is unmerged.
r0143,ISSUE,missing_content_description,high,"touch_target_size,missing_semantics_role","24dp Box.clickable remove button whose only content is an Icon with null description: nameless, roleless, undersized. Same on the rename button."
r0144,NO_ISSUE,none,high,,ListItem.clickable(role = Role.Button); clickable merges descendants and role is set. Correct.
r0145,ISSUE,pointerinput_no_semantics,medium,,"Time-picker dial driven entirely by drag and tap gestures with no semantics or alternative input in the window; a screen-reader user cannot set the value on the dial. A library may pair it with a keyboard mode elsewhere, hence medium."
r0146,ISSUE,textfield_no_label,high,error_state_no_semantics,"OutlinedTextField with placeholder '1-N' only, no label. Also sets isError with no supportingText, so only the generic 'Error' is announced."
r0147,ISSUE,missing_semantics_role,medium,,'View online' Text made clickable with no role or onClickLabel; looks like body text. 8dp vertical padding inside clickable gives roughly 36dp height.
r0148,HANDLED,error_state_no_semantics,medium,,"Duplicate of r0093 (same file, anchor 367). isError with supportingText carrying the message."
r0149,NO_ISSUE,none,medium,,"Anchor is a #F1EDFF circular background behind a tinted icon; no text is drawn on it, so text contrast does not apply. Icon tint vs. background is a non-text contrast question outside the 15 categories."
r0150,ISSUE,clickable_icon_not_iconbutton,high,"missing_content_description,missing_semantics_role","Back-arrow Image with .clickable directly and contentDescription=null in the app bar: nameless, roleless. fillMaxHeight x 50dp keeps the target size adequate."
r0151,NO_ISSUE,none,high,,OutlinedTextField with a label. Correct; hardcoded strings are i18n only.
r0152,ISSUE,missing_heading_semantics,low,,AlertDialog title slot in titleLarge with no heading(). M3 AlertDialog does not add heading semantics to the title; low because dialog titles are read on open.
r0153,ISSUE,progress_no_semantics,medium,,"Bare CircularProgressIndicator() while an app list loads, no label."
r0154,NO_ISSUE,none,medium,missing_heading_semantics,"Static informational Card (icon, titleMedium label, description), not interactive. Merging is optional here. The titleMedium label has no heading()."
r0155,ISSUE,clickable_icon_not_iconbutton,high,"missing_content_description,missing_semantics_role","Back Image with .clickable and contentDescription=null; nameless, roleless. Padding sits inside clickable so the target is 52dp, which is fine."
r0156,ISSUE,text_truncation_scaling,low,,"Display name titleLarge with maxLines=1 + Ellipsis in a profile card; user name is unique content. Common pattern, low."
r0157,HANDLED,progress_no_semantics,medium,,"Two stacked determinate CircularProgressIndicators (value + full track). Determinate indicators carry progressSemantics from the framework, though the decorative 1f track ring will also announce as 100%, which is noise."
r0158,UNSURE,error_state_no_semantics,low,,"Duplicate of r0102 (same repo pattern, different app). isError and errorLabel passed into a custom EmailField not in the window."
r0159,ISSUE,missing_semantics_role,medium,missing_merge_descendants,"RadioButton with onClick beside a MediumBody label in a plain Row; the Row is not selectable, so the label is not tied to the radio and only the 24dp radio is tappable. Correct form is Row.selectable(role=RadioButton) with RadioButton(onClick=null)."
r0160,ISSUE,missing_content_description,medium,,"Check Icon in a green circle signalling success/completion with contentDescription=null; the status is not conveyed by nearby text, which shows only an amount."
r0161,ISSUE,pointerinput_no_semantics,high,,"Custom seek bar driven by tap and horizontal drag gestures with no semantics, no progressSemantics, no setProgress action; unusable with TalkBack."
r0162,NO_ISSUE,none,high,missing_heading_semantics,"Anchor Column is a dialog panel containing a header row, list and controls; merging is inappropriate. Title text has no heading()."
r0163,ISSUE,missing_semantics_role,medium,,Third copy of the Do-It SettingsScreenContent clickable ListItem (see r0009). No role on the clickable; leading Icon is correctly decorative.
r0164,NO_ISSUE,none,medium,,"Anchor is a 0.5dp border color on a header cell, not text. Border contrast is a non-text concern outside the 15 categories."
r0165,UNSURE,color_contrast,low,,Button background is #1F1F1F or #E0E0E0 by theme; the text color drawn on it is not in the window.
r0166,NO_ISSUE,none,high,"missing_heading_semantics,missing_semantics_role",Anchor Column is a bottom-sheet options list where each Text is an action; merging would collapse the options. Separately 'Options' headlineMedium has no heading() and the option Texts have no visible click semantics in the window.
r0167,NO_ISSUE,none,high,decorative_mislabeled,"Anchor is a 2dp Spacer; not interactive. The error Image above is described 'error', which duplicates the adjacent text."
r0168,ISSUE,text_truncation_scaling,low,,"Result title with maxLines=1 + Ellipsis; synopsis at maxLines=3. Title is unique content. Common list pattern, low."
r0169,ISSUE,missing_state_description,medium,missing_semantics_role,Selectable menu Row uses plain .clickable; selection is shown only by a checkmark Icon whose contentDescription repeats the item text. No selectable/role and no selected state exposed. Height 48dp is fine.
r0170,ISSUE,decorative_mislabeled,low,,App icon Image in a hero header described 'croc-app icon' next to the app name Text; the description is redundant. Minor.
r0171,NO_ISSUE,none,high,progress_no_semantics,"Send Icon with null description inside a Button whose Text supplies the name; correctly decorative. The 18dp loading spinner swapped in during upload has no label, but the button Text still reads."
r0172,ISSUE,pointerinput_no_semantics,high,,"Home-screen app item handles tap, long-press and drag entirely through pointerInput with no semantics; the item cannot be activated or moved with TalkBack."
r0173,NO_ISSUE,none,medium,,"Status label with weight(1f) + maxLines=1 + Ellipsis so the percentage stays visible; a deliberate layout choice noted in a comment, and the full string is still read by TalkBack. Visual truncation of a short status label is acceptable."
r0174,NO_ISSUE,none,high,,"Duplicate of r0039 (same file, anchor 106). IconButton with described Icon. Correct."
r0175,NO_ISSUE,none,high,,Leading Icon inside a text button with contentDescription=null; the button's Text provides the name. Correct decorative treatment.
r0176,ISSUE,text_truncation_scaling,low,,"Server URL in titleMedium with maxLines=1 + Ellipsis; the URL is unique content that gets cut. Low, since URLs are commonly truncated."
r0177,ISSUE,missing_semantics_role,medium,decorative_mislabeled,"Attention Image made clickable (opens sync error) with no role; its description 'coin icon' misnames an error indicator. Bounded=false ripple at 20dp suggests a small target, size unknown."
