model,item_id,pred,gold,correct,conf
claude-sonnet,pilot-0127,True,True,True,95.0
claude-sonnet,pilot-0128,True,True,True,95.0
claude-sonnet,pilot-0129,True,True,True,95.0
claude-sonnet,pilot-0130,True,True,True,90.0
claude-sonnet,pilot-0131,True,True,True,95.0
claude-sonnet,pilot-0132,True,True,True,90.0
claude-sonnet,pilot-0134,True,True,True,95.0
claude-sonnet,pilot-0135,True,True,True,90.0
claude-sonnet,pilot-0136,True,False,False,95.0
claude-sonnet,pilot-0137,True,True,True,95.0
claude-sonnet,pilot-0139,True,True,True,95.0
claude-sonnet,pilot-0140,True,True,True,95.0
claude-sonnet,pilot-0141,True,False,False,95.0
claude-sonnet,pilot-0142,True,False,False,85.0
claude-sonnet,pilot-0143,True,False,False,95.0
claude-sonnet,pilot-0144,True,False,False,90.0
claude-sonnet,pilot-0145,True,False,False,95.0
claude-sonnet,pilot-0146,True,False,False,95.0
claude-sonnet,pilot-0147,True,True,True,95.0
claude-sonnet,pilot-0148,True,False,False,95.0
claude-sonnet,pilot-0149,False,False,True,95.0
claude-sonnet,pilot-0150,True,False,False,85.0
claude-sonnet,pilot-0151,True,False,False,95.0
claude-sonnet,pilot-0152,True,False,False,95.0
claude-sonnet,pilot-0153,True,False,False,90.0
claude-sonnet,pilot-0154,True,False,False,90.0
claude-sonnet,pilot-0155,True,False,False,95.0
claude-sonnet,pilot-0156,True,False,False,95.0
claude-sonnet,pilot-0157,True,False,False,95.0
claude-sonnet,pilot-0158,True,False,False,95.0
claude-sonnet,pilot-0159,True,True,True,95.0
claude-sonnet,pilot-0160,True,False,False,90.0
claude-sonnet,pilot-0161,True,True,True,95.0
claude-sonnet,pilot-0162,False,False,True,95.0
claude-sonnet,pilot-0163,True,True,True,95.0
claude-sonnet,pilot-0164,True,True,True,90.0
claude-sonnet,pilot-0165,True,True,True,95.0
claude-sonnet,pilot-0166,True,True,True,95.0
claude-sonnet,pilot-0167,True,True,True,95.0
claude-sonnet,pilot-0168,True,True,True,95.0
claude-sonnet,pilot-0170,True,True,True,95.0
claude-sonnet,pilot-0171,True,True,True,95.0
claude-sonnet,pilot-0172,True,True,True,90.0
claude-sonnet,pilot-0173,True,True,True,90.0
claude-sonnet,pilot-0174,True,True,True,95.0
claude-sonnet,pilot-0175,True,True,True,95.0
claude-sonnet,pilot-0176,True,True,True,90.0
claude-sonnet,pilot-0177,True,False,False,95.0
claude-sonnet,pilot-0178,True,True,True,95.0
claude-sonnet,pilot-0179,True,True,True,90.0
claude-sonnet,pilot-0180,True,True,True,95.0
claude-sonnet,pilot-0181,True,False,False,85.0
claude-sonnet,pilot-0182,True,True,True,95.0
claude-sonnet,pilot-0183,False,False,True,95.0
claude-sonnet,pilot-0184,True,True,True,95.0
claude-sonnet,pilot-0185,True,False,False,85.0
claude-sonnet,pilot-0186,True,True,True,90.0
claude-sonnet,pilot-0187,True,True,True,90.0
claude-sonnet,pilot-0188,False,False,True,95.0
claude-sonnet,pilot-0189,True,True,True,90.0
claude-sonnet,pilot-0190,True,False,False,90.0
claude-sonnet,pilot-0191,True,True,True,95.0
claude-sonnet,pilot-0192,True,False,False,85.0
claude-sonnet,pilot-0193,True,True,True,75.0
claude-sonnet,pilot-0194,True,True,True,90.0
claude-sonnet,pilot-0195,True,True,True,90.0
claude-sonnet,pilot-0197,True,True,True,90.0
claude-sonnet,pilot-0198,True,True,True,85.0
claude-sonnet,pilot-0199,True,True,True,90.0
claude-sonnet,pilot-0200,True,True,True,90.0
claude-sonnet,pilot-0201,True,True,True,95.0
claude-sonnet,pilot-0202,True,False,False,85.0
claude-sonnet,pilot-0203,True,True,True,95.0
claude-sonnet,pilot-0204,True,True,True,95.0
claude-sonnet,pilot-0205,True,True,True,95.0
claude-sonnet,pilot-0206,True,True,True,95.0
claude-sonnet,pilot-0207,True,True,True,95.0
claude-sonnet,pilot-0208,True,True,True,95.0
claude-sonnet,pilot-0209,True,True,True,90.0
claude-sonnet,pilot-0210,True,True,True,95.0
claude-sonnet,pilot-0211,True,True,True,95.0
claude-sonnet,pilot-0212,True,False,False,85.0
claude-sonnet,pilot-0213,True,False,False,85.0
claude-sonnet,pilot-0214,True,True,True,95.0
claude-sonnet,pilot-0215,True,True,True,95.0
claude-sonnet,pilot-0216,True,True,True,95.0
claude-sonnet,pilot-0217,True,True,True,95.0
claude-sonnet,pilot-0218,True,False,False,95.0
claude-sonnet,pilot-0219,True,True,True,95.0
claude-sonnet,pilot-0221,True,False,False,90.0
claude-sonnet,pilot-0222,True,False,False,95.0
claude-sonnet,pilot-0223,True,False,False,90.0
claude-sonnet,pilot-0224,True,False,False,95.0
claude-sonnet,pilot-0225,True,False,False,90.0
claude-sonnet,pilot-0226,True,False,False,95.0
claude-sonnet,pilot-0227,True,False,False,65.0
claude-sonnet,pilot-0228,True,False,False,95.0
claude-sonnet,pilot-0229,True,False,False,95.0
claude-sonnet,pilot-0231,False,False,True,95.0
claude-sonnet,pilot-0232,True,False,False,95.0
claude-sonnet,pilot-0233,True,False,False,95.0
claude-sonnet,pilot-0234,True,False,False,95.0
claude-sonnet,pilot-0235,True,False,False,95.0
claude-sonnet,pilot-0236,True,False,False,95.0
claude-sonnet,pilot-0237,True,False,False,95.0
claude-sonnet,pilot-0238,True,False,False,95.0
claude-sonnet,pilot-0239,True,False,False,85.0
claude-sonnet,pilot-0240,True,False,False,95.0
claude-sonnet,pilot-0241,True,False,False,90.0
claude-sonnet,pilot-0242,True,True,True,95.0
claude-sonnet,pilot-0243,True,True,True,85.0
claude-sonnet,pilot-0244,True,False,False,92.0
claude-sonnet,pilot-0245,True,True,True,90.0
claude-sonnet,pilot-0246,True,False,False,90.0
claude-sonnet,pilot-0247,True,True,True,95.0
claude-sonnet,pilot-0248,True,False,False,95.0
claude-sonnet,pilot-0249,True,True,True,92.0
claude-sonnet,pilot-0250,True,True,True,90.0
claude-sonnet,pilot-0251,False,False,True,95.0
claude-sonnet,pilot-0252,True,True,True,95.0
claude-sonnet,pilot-0254,True,True,True,90.0
claude-sonnet,pilot-0255,True,True,True,90.0
claude-sonnet,pilot-0256,True,True,True,95.0
claude-sonnet,pilot-0257,True,False,False,85.0
claude-sonnet,pilot-0258,True,True,True,85.0
claude-sonnet,pilot-0259,True,True,True,95.0
claude-sonnet,pilot-0260,True,False,False,90.0
claude-sonnet,pilot-0261,True,True,True,95.0
claude-sonnet,pilot-0262,True,False,False,90.0
claude-sonnet,pilot-0263,True,True,True,95.0
claude-sonnet,pilot-0264,True,True,True,95.0
claude-sonnet,pilot-0265,True,True,True,95.0
claude-sonnet,pilot-0266,True,False,False,95.0
claude-sonnet,pilot-0267,True,True,True,95.0
claude-sonnet,pilot-0268,True,True,True,90.0
claude-sonnet,pilot-0269,True,True,True,95.0
claude-sonnet,pilot-0270,True,False,False,95.0
claude-sonnet,pilot-0271,True,True,True,95.0
claude-sonnet,pilot-0272,True,True,True,95.0
claude-sonnet,pilot-0273,True,True,True,85.0
claude-sonnet,pilot-0274,True,True,True,95.0
claude-sonnet,pilot-0275,True,True,True,95.0
claude-sonnet,pilot-0276,True,True,True,95.0
claude-sonnet,pilot-0277,True,True,True,95.0
claude-sonnet,pilot-0278,True,True,True,95.0
claude-sonnet,pilot-0279,True,True,True,95.0
claude-sonnet,pilot-0280,True,False,False,75.0
claude-sonnet,pilot-0281,True,True,True,95.0
claude-sonnet,pilot-0282,True,False,False,95.0
claude-sonnet,pilot-0283,True,True,True,95.0
claude-sonnet,pilot-0285,True,False,False,95.0
claude-sonnet,pilot-0286,True,False,False,95.0
claude-sonnet,pilot-0287,True,False,False,95.0
claude-sonnet,pilot-0288,True,False,False,95.0
claude-sonnet,pilot-0289,True,True,True,100.0
claude-sonnet,pilot-0290,True,False,False,95.0
claude-sonnet,pilot-0291,True,True,True,95.0
claude-sonnet,pilot-0292,True,False,False,85.0
claude-sonnet,pilot-0293,True,True,True,95.0
claude-sonnet,pilot-0294,True,False,False,95.0
claude-sonnet,pilot-0295,True,False,False,85.0
claude-sonnet,pilot-0296,True,False,False,95.0
claude-sonnet,pilot-0297,True,False,False,85.0
claude-sonnet,pilot-0298,True,True,True,95.0
claude-sonnet,pilot-0299,True,True,True,90.0
claude-sonnet,pilot-0300,True,False,False,75.0
claude-sonnet,n0032,False,False,True,90.0
claude-sonnet,n0021,True,False,False,85.0
claude-sonnet,n0060,True,False,False,85.0
claude-sonnet,n0018,False,False,True,95.0
claude-sonnet,n0035,False,False,True,95.0
claude-sonnet,n0016,True,False,False,90.0
claude-sonnet,n0022,False,False,True,95.0
claude-sonnet,n0046,True,False,False,95.0
claude-sonnet,n0013,True,False,False,95.0
claude-sonnet,n0014,True,False,False,85.0
claude-sonnet,n0028,True,False,False,85.0
claude-sonnet,n0019,True,False,False,95.0
claude-sonnet,n0033,True,False,False,85.0
claude-sonnet,n0017,False,False,True,95.0
claude-sonnet,n0044,True,False,False,85.0
claude-sonnet,n0023,False,False,True,95.0
claude-sonnet,n0056,True,False,False,15.0
claude-sonnet,n0030,True,False,False,90.0
claude-sonnet,n0052,True,False,False,85.0
claude-sonnet,n0037,True,False,False,95.0
claude-sonnet,n0034,True,False,False,85.0
claude-sonnet,n0025,True,False,False,95.0
claude-sonnet,n0059,True,False,False,95.0
claude-sonnet,n0039,True,False,False,95.0
claude-sonnet,n0053,True,False,False,85.0
claude-sonnet,n0049,True,False,False,90.0
claude-sonnet,n0043,True,False,False,90.0
claude-sonnet,n0058,True,False,False,65.0
claude-sonnet,n0054,True,False,False,95.0
claude-sonnet,n0015,False,False,True,95.0
claude-sonnet,n0029,True,False,False,95.0
claude-sonnet,n0024,False,False,True,95.0
claude-sonnet,n0020,False,False,True,95.0
claude-sonnet,n0055,False,False,True,95.0
claude-sonnet,n0026,True,False,False,95.0
claude-sonnet,n0005,True,False,False,85.0
claude-sonnet,n0048,True,False,False,85.0
gemini-flash,pilot-0002,True,True,True,95.0
gemini-flash,pilot-0003,True,True,True,90.0
gemini-flash,pilot-0005,True,True,True,95.0
gemini-flash,pilot-0006,True,True,True,95.0
gemini-flash,pilot-0007,True,False,False,95.0
gemini-flash,pilot-0008,True,True,True,95.0
gemini-flash,pilot-0009,True,True,True,100.0
gemini-flash,pilot-0010,True,True,True,85.0
gemini-flash,pilot-0011,True,True,True,95.0
gemini-flash,pilot-0014,True,True,True,90.0
gemini-flash,pilot-0015,True,True,True,95.0
gemini-flash,pilot-0016,False,True,False,85.0
gemini-flash,pilot-0017,True,True,True,95.0
gemini-flash,pilot-0018,True,True,True,95.0
gemini-flash,pilot-0019,True,True,True,95.0
gemini-flash,pilot-0020,True,True,True,100.0
gemini-flash,pilot-0021,True,False,False,95.0
gemini-flash,pilot-0022,False,False,True,95.0
gemini-flash,pilot-0024,True,False,False,95.0
gemini-flash,pilot-0025,True,True,True,100.0
gemini-flash,pilot-0027,False,False,True,95.0
gemini-flash,pilot-0030,False,False,True,95.0
gemini-flash,pilot-0036,True,False,False,90.0
gemini-flash,pilot-0038,True,False,False,95.0
gemini-flash,pilot-0039,False,True,False,95.0
gemini-flash,pilot-0040,True,True,True,95.0
gemini-flash,pilot-0041,True,False,False,95.0
gemini-flash,pilot-0043,True,True,True,85.0
gemini-flash,pilot-0044,True,False,False,95.0
gemini-flash,pilot-0045,True,True,True,90.0
gemini-flash,pilot-0046,True,False,False,90.0
gemini-flash,pilot-0047,True,False,False,95.0
gemini-flash,pilot-0048,True,False,False,90.0
gemini-flash,pilot-0049,True,True,True,95.0
gemini-flash,pilot-0050,True,True,True,95.0
gemini-flash,pilot-0051,True,True,True,95.0
gemini-flash,pilot-0052,True,True,True,85.0
gemini-flash,pilot-0053,True,False,False,95.0
gemini-flash,pilot-0054,True,True,True,85.0
gemini-flash,pilot-0056,True,True,True,95.0
gemini-flash,pilot-0057,True,False,False,85.0
gemini-flash,pilot-0058,True,False,False,95.0
gemini-flash,pilot-0059,False,True,False,95.0
gemini-flash,pilot-0060,True,True,True,95.0
gemini-flash,pilot-0061,True,False,False,95.0
gemini-flash,pilot-0062,False,False,True,95.0
gemini-flash,pilot-0063,True,False,False,95.0
gemini-flash,pilot-0064,True,False,False,85.0
gemini-flash,pilot-0065,False,False,True,95.0
gemini-flash,pilot-0067,True,False,False,95.0
gemini-flash,pilot-0068,False,False,True,95.0
gemini-flash,pilot-0069,True,False,False,95.0
gemini-flash,pilot-0073,True,False,False,95.0
gemini-flash,pilot-0074,False,False,True,95.0
gemini-flash,pilot-0076,True,False,False,90.0
gemini-flash,pilot-0078,False,False,True,95.0
gemini-flash,pilot-0079,True,False,False,95.0
gemini-flash,pilot-0080,True,False,False,95.0
gemini-flash,pilot-0081,True,False,False,95.0
gemini-flash,pilot-0082,True,False,False,95.0
gemini-flash,pilot-0083,True,False,False,95.0
gemini-flash,pilot-0084,True,True,True,95.0
gemini-flash,pilot-0085,True,False,False,95.0
gemini-flash,pilot-0086,True,False,False,85.0
gemini-flash,pilot-0087,True,False,False,95.0
gemini-flash,pilot-0088,True,False,False,95.0
gemini-flash,pilot-0089,False,False,True,95.0
gemini-flash,pilot-0090,True,False,False,95.0
gemini-flash,pilot-0091,True,False,False,90.0
gemini-flash,pilot-0092,True,False,False,85.0
gemini-flash,pilot-0093,True,False,False,85.0
gemini-flash,pilot-0094,False,False,True,95.0
gemini-flash,pilot-0095,True,False,False,95.0
gemini-flash,pilot-0096,True,False,False,95.0
gemini-flash,pilot-0097,True,False,False,95.0
gemini-flash,pilot-0098,False,False,True,95.0
gemini-flash,pilot-0099,True,True,True,95.0
gemini-flash,pilot-0100,False,False,True,95.0
gemini-flash,pilot-0101,False,False,True,95.0
gemini-flash,pilot-0102,True,True,True,85.0
gemini-flash,pilot-0103,True,True,True,90.0
gemini-flash,pilot-0104,True,True,True,95.0
gemini-flash,pilot-0105,False,True,False,95.0
gemini-flash,pilot-0106,False,True,False,95.0
gemini-flash,pilot-0107,True,True,True,85.0
gemini-flash,pilot-0108,False,True,False,95.0
gemini-flash,pilot-0109,True,True,True,85.0
gemini-flash,pilot-0110,True,True,True,90.0
gemini-flash,pilot-0111,False,True,False,95.0
gemini-flash,pilot-0112,True,False,False,95.0
gemini-flash,pilot-0113,False,True,False,95.0
gemini-flash,pilot-0114,True,True,True,90.0
gemini-flash,pilot-0115,True,True,True,95.0
gemini-flash,pilot-0116,True,True,True,90.0
gemini-flash,pilot-0117,True,False,False,85.0
gemini-flash,pilot-0118,True,True,True,85.0
gemini-flash,pilot-0119,True,True,True,95.0
gemini-flash,pilot-0120,True,False,False,95.0
gemini-flash,pilot-0121,True,False,False,95.0
gemini-flash,pilot-0122,True,True,True,95.0
gemini-flash,pilot-0123,True,True,True,100.0
gemini-flash,pilot-0124,True,True,True,85.0
gemini-flash,pilot-0125,True,True,True,95.0
gemini-flash,pilot-0126,False,True,False,95.0
gemini-flash,pilot-0127,True,True,True,95.0
gemini-flash,pilot-0128,True,True,True,85.0
gemini-flash,pilot-0129,True,True,True,100.0
gemini-flash,pilot-0130,True,True,True,95.0
gemini-flash,pilot-0131,True,True,True,90.0
gemini-flash,pilot-0132,True,True,True,95.0
gemini-flash,pilot-0134,True,True,True,95.0
gemini-flash,pilot-0135,True,True,True,85.0
gemini-flash,pilot-0136,False,False,True,90.0
gemini-flash,pilot-0137,True,True,True,95.0
gemini-flash,pilot-0139,True,True,True,95.0
gemini-flash,pilot-0140,True,True,True,95.0
gemini-flash,pilot-0141,True,False,False,95.0
gemini-flash,pilot-0142,False,False,True,95.0
gemini-flash,pilot-0143,True,False,False,95.0
gemini-flash,pilot-0144,True,False,False,95.0
gemini-flash,pilot-0145,True,False,False,95.0
gemini-flash,pilot-0146,True,False,False,85.0
gemini-flash,pilot-0147,True,True,True,85.0
gemini-flash,pilot-0148,False,False,True,95.0
gemini-flash,pilot-0149,False,False,True,95.0
gemini-flash,pilot-0150,True,False,False,85.0
gemini-flash,pilot-0151,True,False,False,95.0
gemini-flash,pilot-0152,True,False,False,95.0
gemini-flash,pilot-0153,True,False,False,95.0
gemini-flash,pilot-0154,True,False,False,95.0
gemini-flash,pilot-0155,True,False,False,85.0
gemini-flash,pilot-0156,True,False,False,95.0
gemini-flash,pilot-0157,True,False,False,95.0
gemini-flash,pilot-0158,True,False,False,95.0
gemini-flash,pilot-0159,False,True,False,95.0
gemini-flash,pilot-0160,True,False,False,90.0
gemini-flash,pilot-0161,True,True,True,95.0
gemini-flash,pilot-0162,True,False,False,95.0
gemini-flash,pilot-0163,True,True,True,90.0
gemini-flash,pilot-0164,False,True,False,95.0
gemini-flash,pilot-0165,True,True,True,95.0
gemini-flash,pilot-0166,True,True,True,95.0
gemini-flash,pilot-0167,True,True,True,100.0
gemini-flash,pilot-0168,True,True,True,85.0
gemini-flash,pilot-0170,True,True,True,95.0
gemini-flash,pilot-0171,True,True,True,95.0
gemini-flash,pilot-0172,True,True,True,85.0
gemini-flash,pilot-0173,False,True,False,95.0
gemini-flash,pilot-0174,True,True,True,95.0
gemini-flash,pilot-0175,True,True,True,95.0
gemini-flash,pilot-0176,True,True,True,90.0
gemini-flash,pilot-0177,True,False,False,85.0
gemini-flash,pilot-0178,True,True,True,100.0
gemini-flash,pilot-0179,True,True,True,95.0
gemini-flash,pilot-0180,True,True,True,95.0
gemini-flash,pilot-0181,True,False,False,95.0
gemini-flash,pilot-0182,True,True,True,95.0
gemini-flash,pilot-0183,False,False,True,95.0
gemini-flash,pilot-0184,True,True,True,95.0
gemini-flash,pilot-0185,True,False,False,85.0
gemini-flash,pilot-0186,True,True,True,95.0
gemini-flash,pilot-0187,True,True,True,90.0
gemini-flash,pilot-0188,False,False,True,95.0
gemini-flash,pilot-0189,True,True,True,95.0
gemini-flash,pilot-0190,False,False,True,95.0
gemini-flash,pilot-0191,True,True,True,95.0
gemini-flash,pilot-0192,False,False,True,95.0
gemini-flash,pilot-0193,True,True,True,95.0
gemini-flash,pilot-0194,True,True,True,95.0
gemini-flash,pilot-0195,True,True,True,95.0
gemini-flash,pilot-0197,True,True,True,90.0
gemini-flash,pilot-0198,True,True,True,95.0
gemini-flash,pilot-0199,True,True,True,95.0
gemini-flash,pilot-0200,True,True,True,90.0
gemini-flash,pilot-0201,True,True,True,95.0
gemini-flash,pilot-0202,False,False,True,0.0
gemini-flash,pilot-0203,True,True,True,95.0
gemini-flash,pilot-0204,True,True,True,90.0
gemini-flash,pilot-0205,True,True,True,95.0
gemini-flash,pilot-0206,True,True,True,95.0
gemini-flash,pilot-0207,True,True,True,95.0
gemini-flash,pilot-0208,True,True,True,95.0
gemini-flash,pilot-0209,True,True,True,95.0
gemini-flash,pilot-0210,True,True,True,95.0
gemini-flash,pilot-0211,True,True,True,95.0
gemini-flash,pilot-0212,False,False,True,0.0
gemini-flash,pilot-0213,False,False,True,95.0
gemini-flash,pilot-0214,True,True,True,95.0
gemini-flash,pilot-0215,True,True,True,95.0
gemini-flash,pilot-0216,True,True,True,95.0
gemini-flash,pilot-0217,True,True,True,95.0
gemini-flash,pilot-0218,True,False,False,85.0
gemini-flash,pilot-0219,True,True,True,98.0
gemini-flash,pilot-0221,False,False,True,95.0
gemini-flash,pilot-0222,False,False,True,95.0
gemini-flash,pilot-0223,True,False,False,85.0
gemini-flash,pilot-0224,True,False,False,95.0
gemini-flash,pilot-0225,True,False,False,90.0
gemini-flash,pilot-0226,True,False,False,95.0
gemini-flash,pilot-0227,True,False,False,95.0
gemini-flash,pilot-0228,True,False,False,95.0
gemini-flash,pilot-0229,False,False,True,95.0
gemini-flash,pilot-0231,False,False,True,95.0
gemini-flash,pilot-0232,False,False,True,95.0
gemini-flash,pilot-0233,True,False,False,90.0
gemini-flash,pilot-0234,False,False,True,95.0
gemini-flash,pilot-0235,True,False,False,95.0
gemini-flash,pilot-0236,True,False,False,95.0
gemini-flash,pilot-0237,True,False,False,90.0
gemini-flash,pilot-0238,False,False,True,95.0
gemini-flash,pilot-0239,True,False,False,95.0
gemini-flash,pilot-0240,False,False,True,95.0
gemini-flash,pilot-0241,True,False,False,95.0
gemini-flash,pilot-0242,True,True,True,95.0
gemini-flash,pilot-0243,True,True,True,90.0
gemini-flash,pilot-0244,True,False,False,95.0
gemini-flash,pilot-0245,True,True,True,85.0
gemini-flash,pilot-0246,True,False,False,95.0
gemini-flash,pilot-0247,True,True,True,95.0
gemini-flash,pilot-0248,False,False,True,95.0
gemini-flash,pilot-0249,True,True,True,90.0
gemini-flash,pilot-0250,True,True,True,90.0
gemini-flash,pilot-0251,False,False,True,95.0
gemini-flash,pilot-0252,True,True,True,95.0
gemini-flash,pilot-0254,True,True,True,95.0
gemini-flash,pilot-0255,True,True,True,95.0
gemini-flash,pilot-0256,True,True,True,95.0
gemini-flash,pilot-0257,True,False,False,85.0
gemini-flash,pilot-0258,True,True,True,85.0
gemini-flash,pilot-0259,True,True,True,95.0
gemini-flash,pilot-0260,True,False,False,85.0
gemini-flash,pilot-0261,True,True,True,95.0
gemini-flash,pilot-0262,True,False,False,95.0
gemini-flash,pilot-0263,True,True,True,95.0
gemini-flash,pilot-0264,True,True,True,95.0
gemini-flash,pilot-0265,True,True,True,95.0
gemini-flash,pilot-0266,True,False,False,95.0
gemini-flash,pilot-0267,True,True,True,95.0
gemini-flash,pilot-0268,True,True,True,95.0
gemini-flash,pilot-0269,True,True,True,95.0
gemini-flash,pilot-0270,True,False,False,95.0
gemini-flash,pilot-0271,True,True,True,95.0
gemini-flash,pilot-0272,True,True,True,95.0
gemini-flash,pilot-0273,True,True,True,95.0
gemini-flash,pilot-0274,True,True,True,95.0
gemini-flash,pilot-0275,True,True,True,95.0
gemini-flash,pilot-0276,True,True,True,95.0
gemini-flash,pilot-0277,True,True,True,95.0
gemini-flash,pilot-0278,True,True,True,95.0
gemini-flash,pilot-0279,True,True,True,95.0
gemini-flash,pilot-0280,True,False,False,95.0
gemini-flash,pilot-0281,True,True,True,95.0
gemini-flash,pilot-0282,True,False,False,95.0
gemini-flash,pilot-0283,True,True,True,95.0
gemini-flash,pilot-0285,False,False,True,95.0
gemini-flash,pilot-0286,True,False,False,95.0
gemini-flash,pilot-0287,False,False,True,95.0
gemini-flash,pilot-0288,True,False,False,90.0
gemini-flash,pilot-0289,True,True,True,100.0
gemini-flash,pilot-0290,True,False,False,95.0
gemini-flash,pilot-0291,True,True,True,95.0
gemini-flash,pilot-0292,False,False,True,95.0
gemini-flash,pilot-0293,True,True,True,95.0
gemini-flash,pilot-0294,True,False,False,95.0
gemini-flash,pilot-0295,False,False,True,95.0
gemini-flash,pilot-0296,True,False,False,95.0
